#item	conf(sigma) (out of 1000 total sols)
p242	0.922000
p243	0.065000
p89	0.897000
p88	0.906000
p246	0.894000
p247	0.654000
p244	0.918000
p245	0.581000
p83	0.896000
p82	0.916000
p81	0.878000
p80	0.789000
p87	0.913000
p169	0.811000
p165	0.907000
p84	0.915000
p168	0.809000
p210	0.581000
p213	0.103000
p163	0.908000
p236	0.889000
p199	0.177000
p162	0.917000
p256	0.944000
p216	0.811000
p161	0.886000
p98	0.906000
p99	0.871000
p160	0.809000
p258	0.778000
p90	0.909000
p91	0.906000
p92	0.914000
p93	0.953000
p94	0.914000
p250	0.937000
p96	0.875000
p86	0.907000
p10	0.905000
p11	0.893000
p12	0.925000
p13	0.915000
p14	0.910000
p85	0.923000
p16	0.891000
p17	0.916000
p18	0.892000
p19	0.916000
p164	0.911000
p219	0.894000
p240	0.018000
p228	0.007000
p178	0.908000
p179	0.140000
p220	0.885000
p221	0.830000
p222	0.897000
p223	0.830000
p224	0.920000
p225	0.902000
p226	0.879000
p227	0.913000
p249	0.918000
p24	0.604000
p27	0.584000
p26	0.884000
p21	0.916000
p20	0.919000
p23	0.806000
p22	0.584000
p29	0.897000
p28	0.947000
p156	0.700000
p157	0.909000
p155	0.947000
p152	0.909000
p153	0.911000
p150	0.912000
p151	0.952000
p231	0.928000
p158	0.608000
p159	0.104000
p241	0.922000
p135	0.914000
p136	0.906000
p137	0.964000
p131	0.921000
p132	0.850000
p133	0.899000
p233	0.910000
p232	0.811000
p109	0.749000
p230	0.907000
p237	0.900000
p139	0.112000
p235	0.903000
p234	0.474000
p251	0.902000
p38	0.735000
p39	0.654000
p78	0.733000
p32	0.910000
p33	0.805000
p30	0.957000
p31	0.919000
p36	0.896000
p37	0.896000
p34	0.910000
p238	0.133000
p108	0.907000
p141	0.873000
p140	0.084000
p143	0.919000
p142	0.959000
p145	0.062000
p144	0.901000
p147	0.733000
p146	0.898000
p149	0.909000
p148	0.917000
p166	0.890000
p127	0.121000
p126	0.900000
p125	0.912000
p124	0.876000
p123	0.919000
p122	0.900000
p121	0.913000
p120	0.762000
p138	0.906000
p129	0.919000
p128	0.921000
p49	0.929000
p48	0.796000
p47	0.909000
p46	0.769000
p45	0.905000
p44	0.792000
p43	0.905000
p42	0.919000
p41	0.902000
p40	0.800000
p248	0.002000
p105	0.762000
p229	0.916000
p112	0.892000
p113	0.800000
p110	0.900000
p111	0.875000
p117	0.806000
p114	0.908000
p115	0.910000
p118	0.904000
p119	0.806000
p58	0.898000
p59	0.882000
p54	0.607000
p55	0.129000
p56	0.942000
p57	0.886000
p50	0.013000
p51	0.796000
p52	0.905000
p53	0.875000
p2	0.920000
p3	0.131000
p0	0.065000
p1	0.910000
p7	0.916000
p4	0.785000
p5	0.904000
p218	0.054000
p8	0.916000
p9	0.907000
p206	0.913000
p207	0.882000
p204	0.931000
p205	0.906000
p202	0.897000
p203	0.923000
p200	0.899000
p201	0.904000
p208	0.900000
p209	0.167000
p61	0.913000
p60	0.905000
p63	0.914000
p62	0.907000
p65	0.661000
p64	0.920000
p67	0.901000
p66	0.661000
p69	0.914000
p104	0.245000
p107	0.909000
p106	0.907000
p101	0.959000
p100	0.920000
p103	0.900000
p102	0.948000
p134	0.174000
p167	0.768000
p257	0.900000
p177	0.018000
p211	0.908000
p255	0.900000
p198	0.952000
p212	0.906000
p215	0.915000
p214	0.906000
p217	0.912000
p254	0.903000
p192	0.474000
p193	0.913000
p190	0.052000
p191	0.918000
p196	0.894000
p197	0.913000
p194	0.907000
p195	0.916000
p76	0.911000
p77	0.921000
p74	0.903000
p75	0.921000
p72	0.913000
p73	0.910000
p70	0.113000
p71	0.906000
p170	0.895000
p171	0.922000
p172	0.788000
p173	0.765000
p174	0.958000
p175	0.906000
p176	0.912000
p95	0.900000
p239	0.903000
p25	0.806000
p253	0.874000
p97	0.903000
p185	0.918000
p184	0.908000
p187	0.152000
p186	0.892000
p181	0.011000
p180	0.906000
p183	0.918000
p182	0.924000
p189	0.908000
p188	0.119000
