#item	conf(x) (out of 1000 total sols)
edge6239	0.065000
edge7882	0.944000
edge23894	0.900000
edge19888	0.896000
edge9953	0.909000
edge15329	0.891000
edge15328	0.908000
edge3843	0.177000
edge9617	0.896000
edge10424	0.916000
edge22694	0.918000
edge2582	0.762000
edge25908	0.908000
edge631	0.961000
edge17186	0.914000
edge16821	0.928000
edge27005	0.918000
edge13705	0.955000
edge22135	0.157000
edge7014	0.951000
edge13918	0.905000
edge20453	0.914000
edge702	0.947000
edge18740	0.112000
edge12689	0.905000
edge16075	0.916000
edge26581	0.897000
edge13551	0.966000
edge17249	0.895000
edge9393	0.914000
edge17567	0.905000
edge6718	0.908000
edge8148	0.953000
edge19517	0.018000
edge21074	0.950000
edge11075	0.906000
edge25645	0.899000
edge14997	0.949000
edge5873	0.924000
edge11622	0.952000
edge24362	0.607000
edge556	0.906000
edge557	0.114000
edge25139	0.167000
edge7301	0.925000
edge77	0.805000
edge6472	0.915000
edge17680	0.700000
edge21614	0.765000
edge17922	0.961000
edge18360	1.000000
edge19609	0.902000
edge14309	0.909000
edge23788	0.920000
edge24942	0.913000
edge7874	0.904000
edge26453	0.907000
edge7872	0.906000
edge16796	0.909000
edge10666	0.792000
edge12191	0.769000
edge11920	0.054000
edge20999	0.927000
edge20990	0.948000
edge21469	0.964000
edge11362	0.018000
edge24062	0.052000
edge18569	0.906000
edge13811	0.140000
edge19307	0.919000
edge16861	0.959000
edge3896	0.018000
edge20691	0.733000
edge7053	0.946000
edge21223	0.916000
edge2552	0.908000
edge822	0.958000
edge16509	0.778000
edge22320	0.911000
edge4950	0.581000
edge180	0.919000
edge24239	0.912000
edge10911	0.910000
edge4431	0.913000
edge5533	0.901000
edge13286	0.948000
edge224	0.830000
edge17442	0.907000
edge7024	0.911000
edge26709	0.752000
edge13967	1.000000
edge15023	0.007000
edge21131	0.902000
edge15025	0.909000
edge26115	0.954000
edge13884	0.904000
edge1080	0.700000
edge25333	0.788000
edge11540	0.902000
edge8618	0.913000
edge20660	0.953000
edge17235	0.129000
edge4133	0.955000
edge251	0.951000
edge21041	0.898000
edge1888	0.952000
edge25617	0.949000
edge8502	0.882000
edge1799	0.897000
edge25200	0.912000
edge10786	0.902000
edge15776	0.584000
edge7892	0.963000
edge15681	0.942000
edge26939	0.820000
edge6546	0.913000
edge12088	0.002000
edge12083	0.948000
edge21621	0.733000
edge2189	0.805000
edge16092	0.956000
edge26563	0.911000
edge1843	0.735000
edge18852	0.884000
edge21264	0.918000
edge21267	0.910000
edge26304	0.903000
edge25502	0.916000
edge18455	0.906000
edge18100	0.955000
edge11969	0.959000
edge19820	0.952000
edge16837	0.894000
edge24273	0.957000
edge26666	0.913000
edge4686	0.905000
edge1207	0.907000
edge15908	0.953000
edge14185	0.959000
edge18078	0.906000
edge988	0.925000
edge6363	0.785000
edge11462	0.921000
edge24305	0.943000
edge26590	0.949000
edge13761	0.915000
edge11148	0.065000
edge228	0.908000
edge17471	0.945000
edge9156	0.913000
edge22150	0.907000
edge9015	0.800000
edge6762	0.886000
edge25715	0.948000
edge25711	0.900000
edge26085	0.167000
edge1447	0.964000
edge20068	0.952000
edge9634	0.910000
edge8182	0.893000
edge22482	0.915000
edge20752	0.121000
edge23773	0.103000
edge20594	0.913000
edge7964	0.910000
edge22990	0.610000
edge14725	0.608000
edge11937	0.915000
edge11938	0.873000
edge15533	0.915000
edge13611	0.809000
edge9870	0.917000
edge13151	0.911000
edge15874	0.121000
edge16348	0.907000
edge22575	0.105000
edge22571	0.871000
edge2397	0.906000
edge2396	0.661000
edge10401	0.963000
edge23470	0.848000
edge14610	0.957000
edge23952	0.893000
edge26024	0.879000
edge18034	0.920000
edge10158	0.920000
edge18817	0.955000
edge24009	0.885000
edge195	0.806000
edge19953	0.878000
edge24393	0.054000
edge395	0.948000
edge1145	0.952000
edge13442	0.811000
edge13335	0.906000
edge1149	0.957000
edge26713	0.957000
edge7034	0.894000
edge11790	0.886000
edge21286	0.950000
edge23552	0.901000
edge3910	0.811000
edge11490	0.890000
edge13538	0.013000
edge2062	0.892000
edge6782	0.909000
edge23739	0.952000
edge24918	0.917000
edge10977	0.920000
edge11059	0.920000
edge14578	0.958000
edge11724	0.875000
edge8168	0.955000
edge438	0.949000
edge8832	0.882000
edge11870	0.907000
edge23083	0.949000
edge18267	0.654000
edge12097	0.910000
edge10273	0.806000
edge17091	0.898000
edge18348	0.897000
edge17312	0.900000
edge4358	0.951000
edge2843	0.062000
edge25068	0.906000
edge19629	0.922000
edge10526	0.906000
edge14654	0.850000
edge12178	0.474000
edge7558	0.906000
edge14130	0.909000
edge19845	0.899000
edge12678	0.013000
edge791	0.806000
edge5279	0.768000
edge22372	0.962000
edge17994	0.942000
edge19446	0.052000
edge26798	0.910000
edge18665	0.906000
edge296	0.908000
edge4075	0.920000
edge18481	0.894000
edge26759	0.953000
edge4677	0.065000
edge8096	0.011000
edge10742	0.955000
edge6957	0.903000
edge20376	0.133000
edge25404	0.909000
edge18001	0.919000
edge18002	0.958000
edge22627	0.245000
edge3521	0.914000
edge18008	0.922000
edge7189	0.581000
edge23022	0.944000
edge10383	0.921000
edge10931	0.937000
edge5553	0.584000
edge4412	0.931000
edge14434	0.959000
edge24824	0.886000
edge22160	0.971000
edge11716	0.954000
edge21153	0.152000
edge14538	0.929000
edge6771	0.949000
edge23426	0.133000
edge8415	0.953000
edge772	0.942000
edge20154	0.084000
edge22931	0.909000
edge4520	0.910000
edge18302	0.942000
edge17211	0.904000
edge9329	0.002000
edge19662	0.952000
edge6177	0.174000
edge504	0.956000
edge21338	0.916000
edge2270	0.907000
edge11464	0.875000
edge14145	0.903000
edge21568	0.943000
edge16237	0.916000
edge22582	0.908000
edge15318	0.946000
edge9211	0.947000
edge17324	0.937000
edge6293	0.897000
edge3703	0.913000
edge10416	0.889000
edge15886	0.947000
edge5229	0.954000
edge10148	0.789000
edge5743	0.119000
edge3687	0.909000
edge14031	0.910000
edge11410	0.906000
edge13269	0.950000
edge23341	0.905000
edge9827	0.944000
edge23023	0.913000
edge18288	0.762000
edge20783	0.928000
