#pid	conf	gene_ids	eids	pathfinders	sif_edges
p0	0.918000	YFR028C|YOR259C|NPR7|YHL007C|CDC14ID21	edge2204|edge6827|edge1349|edge21542	paths	YFR028C u YOR259C|YOR259C d NPR7|NPR7 d YHL007C|YHL007C d CDC14ID21
p1	0.903000	YFR028C|YLR096W|YIR010W|CDC14RD31	edge14626|edge7596|edge10935	paths	YFR028C u YLR096W|YLR096W d YIR010W|YIR010W d CDC14RD31
p2	0.002000	YLR113W|YGR112W|YNL307C|HOG1ID44	edge1419|edge3591|edge13459	paths	YLR113W d YGR112W|YGR112W u YNL307C|YNL307C d HOG1ID44
p3	0.899000	YFR028C|YNL207W|YNL030W|CDC14RD31	edge16159|edge20937|edge8519	paths	YFR028C u YNL207W|YNL207W u YNL030W|YNL030W d CDC14RD31
p4	0.909000	YFR028C|YPR135W|NPR8|YKL166C|CDC14RD30	edge5439|edge23368|edge10558|edge8895	paths	YFR028C u YPR135W|YPR135W d NPR8|NPR8 d YKL166C|YKL166C d CDC14RD30
p5	0.953000	YFR028C|YHR027C|CDC14RA40	edge4316|edge18827	paths	YFR028C d YHR027C|YHR027C d CDC14RA40
p6	0.921000	YLR113W|YLR103C|YDR128W|HOG1ID48	edge16680|edge9246|edge4084	paths	YLR113W u YLR103C|YLR103C u YDR128W|YDR128W d HOG1ID48
p7	0.906000	YLR113W|YPL082C|YLL008W|HOG1RA51	edge1194|edge21702|edge19494	paths	YLR113W u YPL082C|YPL082C u YLL008W|YLL008W d HOG1RA51
p8	0.903000	YLR113W|YLL039C|YIR010W|HOG1ID42	edge26023|edge8284|edge12437	paths	YLR113W d YLL039C|YLL039C u YIR010W|YIR010W d HOG1ID42
p9	0.029000	YFR028C|YGR130C|YHR186C|CDC14RD31	edge14273|edge22914|edge6468	paths	YFR028C d YGR130C|YGR130C u YHR186C|YHR186C d CDC14RD31
p10	0.917000	YFR028C|YHR143WA|YBR010W|CDC14RD36	edge21187|edge25670|edge8830	paths	YFR028C u YHR143WA|YHR143WA u YBR010W|YBR010W d CDC14RD36
p11	0.094000	YFR028C|YBR200W|YHR084W|CDC14ID21	edge23116|edge26880|edge13652	paths	YFR028C u YBR200W|YBR200W u YHR084W|YHR084W d CDC14ID21
p12	0.910000	YLR113W|YLL039C|YOR117W|HOG1RD56	edge26023|edge25447|edge9325	paths	YLR113W d YLL039C|YLL039C u YOR117W|YOR117W d HOG1RD56
p13	0.000000	YFR028C|YIL115C|YNL207W|CDC14RD30	edge14565|edge21628|edge5255	paths	YFR028C d YIL115C|YIL115C u YNL207W|YNL207W d CDC14RD30
p14	0.903000	YFR028C|YLR096W|YIR010W|CDC14RD35	edge14626|edge7596|edge20923	paths	YFR028C u YLR096W|YLR096W d YIR010W|YIR010W d CDC14RD35
p15	0.909000	YFR028C|YHR027C|NPR12|YNL243W|CDC14RD36	edge4316|edge5940|edge22848|edge11693	paths	YFR028C d YHR027C|YHR027C d NPR12|NPR12 d YNL243W|YNL243W d CDC14RD36
