,Motif,AA,0,1,2,3,4,5,6,7,8,9,10,11,12,IC_0_Final,IC_1_Final,IC_2_Final,IC_3_Final,IC_4_Final,IC_5_Final,IC_6_Final,IC_7_Final,IC_8_Final,IC_9_Final,IC_10_Final,IC_11_Final,IC_12_Final
320,hog1,A:,0.05,0.051810865,0.049684741,0.047908745,0.039815052999999996,0.057692308,0.025,0.04415584400000001,0.044136192000000005,0.044704089,0.049121914,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
321,hog1,C:,0.05,0.057092555,0.058259773,0.052724968,0.05086051900000001,0.049342105,0.025,0.038701299,0.057503153,0.055626111,0.045049631,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
322,hog1,D:,0.05,0.045774648,0.050441362000000003,0.055513308,0.044438736,0.04832996,0.025,0.034285714,0.053972257,0.06019812,0.056757445,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
323,hog1,E:,0.05,0.045774648,0.054981084000000006,0.056020279000000006,0.039044439,0.040232794,0.025,0.035064935,0.041614124,0.07620015200000001,0.078391448,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
324,hog1,F:,0.05,0.041498994,0.040605296,0.040811152999999996,0.036218854,0.046558704000000006,0.025,0.032207792,0.044640605,0.041148082,0.044540595999999995,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
325,hog1,G:,0.05,0.051307847000000004,0.050945776,0.057794677,0.039044439,0.058451417,0.025,0.04025974,0.07137452700000001,0.052578105,0.045049631,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
326,hog1,H:,0.05,0.048792757,0.045397226,0.047148289,0.039558181,0.049848178,0.025,0.037922078,0.050189155,0.046990094,0.043522525,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
327,hog1,I:,0.05,0.048038229,0.042370744,0.045880862,0.048548677,0.036184211,0.025,0.034545455,0.040857502999999996,0.041402083,0.045304149,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
328,hog1,K:,0.05,0.04778672,0.046910467000000004,0.045373891,0.041613152,0.053137652,0.025,0.033246753,0.043883985,0.044704089,0.041740901000000004,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
329,hog1,L:,0.05,0.04778672,0.046910467000000004,0.04157161,0.076804521,0.056174089,0.025,0.033506494,0.042118537000000004,0.044196088,0.048867395999999994,0.05,0.05,100,99.99523590000001,99.99166802,99.98861611,99.91504519,99.9862625,4.084123966,4.5108817619999995,99.98184236,99.97557018,99.98415105,100,100
