#item	conf(sigma) (out of 1000 total sols)
p218	0.896000
p89	0.907000
p168	0.905000
p83	0.908000
p162	0.919000
p81	0.884000
p80	0.884000
p167	0.914000
p166	0.907000
p85	0.308000
p84	0.640000
p88	0.337000
p237	0.907000
p198	0.786000
p163	0.717000
p236	0.911000
p212	0.901000
p161	0.898000
p98	0.905000
p99	0.903000
p160	0.439000
p150	0.001000
p90	0.895000
p91	0.953000
p239	0.728000
p93	0.011000
p94	0.931000
p95	0.786000
p96	0.900000
p97	0.898000
p10	0.903000
p11	0.908000
p12	0.761000
p13	0.051000
p14	0.911000
p15	0.912000
p16	0.757000
p17	0.757000
p18	0.728000
p19	0.950000
p164	0.001000
p165	0.438000
p197	0.092000
p240	0.908000
p228	0.913000
p229	0.903000
p179	0.913000
p220	0.894000
p221	0.013000
p222	0.910000
p223	0.909000
p224	0.919000
p225	0.959000
p226	0.753000
p25	0.915000
p24	0.648000
p27	0.909000
p26	0.728000
p21	0.916000
p20	0.912000
p23	0.931000
p22	0.914000
p29	0.904000
p28	0.904000
p156	0.898000
p157	0.903000
p154	0.900000
p155	0.773000
p152	0.898000
p153	0.916000
p219	0.909000
p151	0.907000
p231	0.903000
p158	0.909000
p159	0.895000
p134	0.900000
p135	0.887000
p136	0.507000
p137	0.897000
p130	0.910000
p131	0.887000
p132	0.773000
p133	0.900000
p233	0.907000
p232	0.903000
p109	0.927000
p230	0.753000
p138	0.773000
p139	0.915000
p235	0.924000
p234	0.902000
p38	0.905000
p39	0.907000
p176	0.889000
p32	0.587000
p30	0.905000
p31	0.908000
p36	0.917000
p37	0.915000
p34	0.904000
p35	0.901000
p238	0.761000
p108	0.047000
p141	0.911000
p140	0.208000
p143	0.914000
p142	0.774000
p145	0.916000
p144	0.780000
p147	0.786000
p146	0.900000
p149	0.898000
p148	0.044000
p127	0.890000
p126	0.191000
p125	0.790000
p124	0.919000
p123	0.790000
p122	0.901000
p121	0.909000
p120	0.901000
p129	0.899000
p128	0.790000
p49	0.953000
p48	0.902000
p47	0.906000
p46	0.902000
p45	0.884000
p44	0.886000
p43	0.750000
p42	0.937000
p41	0.909000
p40	0.919000
p213	0.898000
p69	0.009000
p68	0.018000
p112	0.757000
p113	0.864000
p110	0.905000
p111	0.914000
p116	0.917000
p117	0.901000
p114	0.901000
p115	0.906000
p118	0.909000
p119	0.901000
p58	0.896000
p59	0.914000
p54	0.913000
p55	0.914000
p57	0.910000
p50	0.953000
p51	0.773000
p52	0.914000
p53	0.451000
p3	0.913000
p0	0.050000
p1	0.912000
p6	0.345000
p7	0.920000
p4	0.293000
p5	0.902000
p8	0.920000
p9	0.764000
p206	1.000000
p207	0.904000
p204	0.913000
p205	0.903000
p202	0.920000
p203	0.909000
p200	0.750000
p201	0.903000
p87	0.046000
p208	0.920000
p209	0.860000
p61	0.042000
p60	0.952000
p63	0.911000
p62	0.893000
p65	0.796000
p64	0.796000
p67	0.887000
p66	0.907000
p105	0.912000
p104	0.919000
p107	0.914000
p106	0.900000
p101	0.906000
p103	0.610000
p102	0.896000
p177	0.207000
p211	0.914000
p210	0.917000
p169	0.496000
p199	0.750000
p215	0.904000
p214	0.898000
p217	0.913000
p216	0.904000
p192	0.773000
p193	0.921000
p190	0.898000
p191	0.911000
p196	0.890000
p92	0.906000
p194	0.773000
p195	0.034000
p76	0.898000
p77	0.912000
p74	0.768000
p75	0.773000
p72	0.897000
p73	0.860000
p70	0.750000
p71	0.900000
p170	0.634000
p171	0.799000
p172	0.612000
p173	0.710000
p174	0.904000
p175	0.943000
p78	0.895000
p79	0.017000
p86	0.026000
p185	0.909000
p184	0.026000
p187	0.675000
p186	0.746000
p181	0.796000
p180	0.796000
p183	0.909000
p182	0.918000
p189	0.773000
p188	0.907000
