#item	conf(x) (out of 1000 total sols)
edge7346	0.952000
edge22959	0.901000
edge20135	0.907000
edge21651	0.937000
edge12480	0.884000
edge6867	0.950000
edge17889	0.773000
edge19336	0.926000
edge10938	0.675000
edge16910	0.916000
edge26852	0.907000
edge21193	0.902000
edge15937	0.954000
edge18842	0.953000
edge14676	0.947000
edge24349	0.044000
edge24598	0.018000
edge6849	0.451000
edge20952	0.899000
edge21428	0.675000
edge19424	0.948000
edge18683	0.952000
edge20790	0.950000
edge3607	0.897000
edge26654	0.938000
edge4197	0.900000
edge1534	0.945000
edge5500	0.905000
edge3437	0.774000
edge5508	0.951000
edge17411	0.897000
edge24896	0.920000
edge3180	0.949000
edge13912	0.191000
edge6621	0.648000
edge6834	0.913000
edge25341	0.345000
edge23240	0.898000
edge24562	0.890000
edge14194	0.898000
edge24445	0.728000
edge6017	0.954000
edge5371	0.954000
edge8660	0.908000
edge8586	0.912000
edge10954	0.897000
edge16643	0.902000
edge4578	0.953000
edge10618	0.710000
edge22904	0.050000
edge5974	0.905000
edge5971	0.948000
edge71	0.814000
edge26807	0.909000
edge23852	0.950000
edge13171	0.946000
edge20074	0.953000
edge5711	0.944000
edge15160	0.952000
edge19606	0.900000
edge13698	0.047000
edge22980	0.955000
edge9538	0.920000
edge14736	0.911000
edge23589	0.884000
edge2702	0.917000
edge9537	0.927000
edge20991	0.914000
edge3571	0.913000
edge14162	0.947000
edge24492	0.042000
edge19468	0.920000
edge26011	0.919000
edge24703	0.757000
edge2959	0.960000
edge15191	0.952000
edge7055	0.920000
edge26509	0.900000
edge9250	0.907000
edge10333	0.959000
edge21931	0.860000
edge4167	0.900000
edge14609	0.728000
edge20315	0.912000
edge26343	0.917000
edge20311	0.934000
edge3970	0.971000
edge17702	0.893000
edge23973	0.955000
edge18898	0.914000
edge19415	0.953000
edge1015	0.911000
edge4822	0.959000
edge16136	0.920000
edge1872	0.958000
edge7758	0.917000
edge17442	0.952000
edge9120	0.942000
edge8243	0.907000
edge14832	0.917000
edge3208	0.951000
edge15241	0.013000
edge12968	0.887000
edge4136	0.911000
edge7938	0.957000
edge7620	0.913000
edge16161	0.931000
edge6059	0.050000
edge18145	0.337000
edge7893	0.768000
edge11845	0.918000
edge26832	0.207000
edge7332	0.959000
edge21544	0.746000
edge16167	0.889000
edge10262	0.948000
edge9275	0.953000
edge7801	0.912000
edge9374	0.945000
edge4610	0.900000
edge14766	0.953000
edge784	0.954000
edge22533	0.903000
edge12820	0.896000
edge27016	0.009000
edge25661	0.796000
edge4919	0.757000
edge13245	0.914000
edge4045	0.001000
edge1930	0.909000
edge3401	0.947000
edge16408	0.919000
edge10753	0.914000
edge18936	0.958000
edge14790	0.908000
edge25807	0.951000
edge14792	0.753000
edge8374	0.890000
edge3922	0.051000
edge1638	0.919000
edge7093	0.917000
edge24471	0.911000
edge16169	0.293000
edge13564	0.950000
edge25390	0.903000
edge24302	0.941000
edge26592	0.914000
edge10824	0.914000
edge21764	0.208000
edge20823	0.910000
edge14426	0.955000
edge14980	0.962000
edge8151	0.904000
edge24831	0.001000
edge26699	0.938000
edge763	0.051000
edge13083	0.308000
edge2932	0.717000
edge9632	0.953000
edge20145	0.895000
edge25024	0.610000
edge19386	0.887000
edge18258	0.308000
edge9550	0.914000
edge5491	0.948000
edge19675	0.920000
edge10674	0.913000
edge6211	0.904000
edge21474	0.912000
edge15530	0.026000
edge16222	0.920000
edge11479	0.907000
edge6907	0.954000
edge5141	0.952000
edge24483	0.017000
edge16225	0.916000
edge18221	0.013000
edge8728	0.610000
edge10233	0.640000
edge5228	0.909000
edge13584	0.904000
edge19310	0.962000
edge19258	0.337000
edge15950	1.000000
edge4721	0.640000
edge2405	0.946000
edge23529	0.439000
edge23292	0.913000
edge7295	0.959000
edge17714	0.903000
edge25431	0.944000
edge23052	0.915000
edge23193	0.952000
edge17123	0.898000
edge7193	0.906000
edge8942	0.786000
edge5913	0.947000
edge13339	0.913000
edge5523	0.942000
edge17531	0.943000
edge26659	0.954000
edge16453	0.950000
edge13975	0.902000
edge11792	0.438000
edge26126	0.931000
edge13875	0.901000
edge21281	0.949000
edge10992	0.750000
edge729	0.896000
edge8769	0.896000
edge26073	0.942000
edge682	0.961000
edge23223	0.864000
edge14847	0.612000
edge2067	0.910000
edge23631	0.965000
edge16159	0.891000
edge17222	0.895000
edge7632	0.913000
edge434	0.903000
edge6737	0.908000
edge6040	0.026000
edge25191	0.909000
edge18749	0.042000
edge1027	0.897000
edge6323	0.900000
edge19696	0.208000
edge11336	0.911000
edge1058	0.915000
edge26274	0.046000
edge4357	0.943000
edge16938	0.949000
edge18612	0.907000
edge10371	0.927000
edge19622	0.932000
edge19588	0.902000
edge22733	0.907000
edge6133	0.507000
edge4976	0.958000
edge18860	0.207000
edge12172	0.959000
edge14064	0.509000
edge21447	0.900000
edge15983	0.913000
edge12381	0.954000
edge20838	0.496000
edge21680	1.000000
edge17619	0.904000
edge20835	0.943000
edge18665	0.047000
edge3742	0.001000
edge24262	0.764000
edge18481	0.964000
edge8398	0.909000
edge849	0.947000
edge20473	0.900000
edge14628	0.915000
edge6954	0.945000
edge6951	0.907000
edge23301	0.001000
edge8267	0.909000
edge23309	0.957000
edge16118	0.026000
edge1077	0.919000
edge25222	0.750000
edge5413	0.919000
edge5411	0.773000
edge22648	0.909000
edge4413	0.191000
edge7670	0.951000
edge25752	0.009000
edge23421	0.903000
edge21153	0.902000
edge11765	0.946000
edge13377	0.890000
edge23017	0.903000
edge20019	0.904000
edge25039	0.802000
edge12052	0.026000
edge7989	0.914000
edge6	0.898000
edge13057	0.757000
edge11128	0.894000
edge24482	0.907000
edge4097	0.634000
edge19097	0.913000
edge4409	0.921000
edge11907	0.909000
edge26918	0.943000
edge9515	0.914000
edge16670	0.898000
edge9139	0.750000
edge19483	0.912000
edge19329	0.900000
edge17898	0.952000
edge13593	0.913000
edge18621	0.773000
edge9964	0.757000
edge2878	0.904000
edge1387	1.000000
edge801	0.921000
edge7134	0.905000
edge14743	0.911000
edge10027	0.790000
edge3994	0.909000
edge1252	0.780000
edge1258	0.912000
edge898	0.587000
edge18121	0.919000
edge973	0.905000
edge10635	0.924000
edge15043	0.952000
edge21298	0.947000
edge8899	0.046000
edge18059	0.011000
edge8290	0.044000
edge4520	0.914000
edge12012	0.948000
edge6382	0.912000
edge6383	0.917000
edge13423	0.908000
edge19296	0.909000
edge4440	0.914000
edge9967	0.906000
edge25188	0.951000
edge7647	0.948000
edge17558	0.914000
edge6703	0.953000
edge17698	0.951000
edge15462	0.950000
edge17690	0.897000
edge17913	0.912000
edge23090	0.901000
edge23158	0.957000
edge24973	0.947000
edge16929	0.900000
edge13493	0.793000
edge19753	0.634000
edge16923	0.895000
edge8778	0.950000
edge2119	0.910000
edge12788	0.796000
edge23594	0.907000
edge23591	0.905000
edge10105	0.911000
edge14174	0.919000
edge7382	0.910000
edge20828	0.919000
edge17175	0.293000
edge26215	0.952000
edge18570	0.439000
edge21921	0.773000
edge22557	0.915000
edge18671	0.802000
edge15285	0.017000
edge2230	0.728000
edge933	0.952000
edge1662	0.451000
edge24154	0.907000
edge4063	0.902000
edge935	0.018000
edge3015	0.913000
edge15977	0.796000
edge4702	0.905000
edge3544	0.902000
edge2546	0.942000
edge4660	0.886000
edge20468	0.790000
edge4664	0.753000
edge23937	0.345000
edge15727	0.915000
edge23931	0.920000
edge3944	0.919000
edge21996	0.902000
edge4403	0.947000
edge7685	0.941000
edge10928	0.945000
edge24854	0.909000
edge11003	0.954000
edge23433	0.011000
edge14685	0.960000
edge1467	0.898000
edge746	0.919000
edge23807	0.909000
edge12342	0.896000
edge9298	0.945000
edge12977	0.907000
edge13048	0.909000
edge20670	0.946000
edge10493	0.761000
edge515	0.914000
edge9073	0.786000
