matchType=CatSet(Constituent|Shared_Interaction)	Interactor_A	Interactor_B	Dir	Sign	Annotation=CatSet(Kinase|Phosphatase|Yes)
Constituent	cdc14ia23	YMR031C	1	0		
Constituent	cdc14ia23	YHR131C	1	0		
Constituent	cdc14id25	YBL061C	1	0		
Constituent	cdc14id25	YHR158C	1	0		
Constituent	cdc14id25	YNL180C	1	0		
Constituent	cdc14id25	YNL267W	1	0		
Constituent	hog1id47	YBR080C	1	0		
Constituent	hog1id47	YDR407C	1	0		
Constituent	hog1id47	YER105C	1	0		
Constituent	hog1id47	YGL099W	1	0		
Constituent	hog1id47	YJR076C	1	0		
Constituent	hog1id47	YLR206W	1	0		
Constituent	hog1id47	YLR260W	1	0		
Constituent	hog1id47	YHR131C	1	0		
Constituent	hog1id47	YHR158C	1	0		
Constituent	hog1id47	YNL180C	1	0		
Constituent	hog1id47	YNL267W	1	0		
Constituent	npi4	YBL047C	1	0		
Constituent	npi4	YDL146W	1	0		
Constituent	npi4	YDL225W	1	0		
Constituent	npi4	YDR093W	1	0		
Constituent	npi4	YDR490C	1	0	Kinase	
Constituent	npi4	YER087CB	1	0		
Constituent	npi4	YER166W	1	0		
Constituent	npi4	YFL009W	1	0		
Constituent	npi4	YGL181W	1	0		
Constituent	npi4	YGR038W	1	0		
Constituent	npi4	YGR097W	1	0		
Constituent	npi4	YIR006C	1	0	Yes	
Constituent	npi4	YLL040C	1	0		
Constituent	npi4	YLR410W	1	0		
Constituent	npi4	YNL118C	1	0		
Constituent	npi4	YNL166C	1	0		
Constituent	npi4	YOL093W	1	0		
Constituent	npi4	YPL032C	1	0		
Constituent	pde2id62	YER087CB	1	0		
Constituent	pde2id62	YGL181W	1	0		
Constituent	pde2id62	YIL036W	1	0		
Constituent	pde2id62	YMR031C	1	0		
Constituent	cdc14id22	YBR059C	1	0	Kinase	
Constituent	cdc14id22	YBR140C	1	0		
Constituent	cdc14id22	YML059C	1	0		
Constituent	cdc14id22	YLR006C	1	0		
Constituent	hog1ia45	YDL195W	1	0		
Constituent	hog1ia45	YDR033W	1	0		
Constituent	hog1ia45	YJL095W	1	0	Kinase	
Constituent	hog1ia45	YNL278W	1	0		
Constituent	hog1id46	YBL004W	1	0		
Constituent	hog1id46	YBR059C	1	0	Kinase	
Constituent	hog1id46	YDL117W	1	0		
Constituent	hog1id46	YDL224C	1	0		
Constituent	hog1id46	YDR003W	1	0		
Constituent	hog1id46	YDR227W	1	0		
Constituent	hog1id46	YER083C	1	0		
Constituent	hog1id46	YGL208W	1	0		
Constituent	hog1id46	YGR094W	1	0		
Constituent	hog1id46	YGR097W	1	0		
Constituent	hog1id46	YGR253C	1	0		
Constituent	hog1id46	YHR007C	1	0		
Constituent	hog1id46	YIL115C	1	0		
Constituent	hog1id46	YLR248W	1	0	Kinase	
Constituent	hog1id46	YLR357W	1	0		
Constituent	hog1id46	YML059C	1	0		
Constituent	hog1id46	YML081W	1	0		
Constituent	hog1id46	YMR205C	1	0		
Constituent	hog1id46	YNL321W	1	0		
Constituent	hog1id46	YOR151C	1	0		
Constituent	hog1id46	YLR006C	1	0		
Constituent	hog1id46	YLR257W	1	0		
Constituent	npi3	YAR002W	1	0		
Constituent	npi3	YBR059C	1	0	Kinase	
Constituent	npi3	YBR112C	1	0		
Constituent	npi3	YBR198C	1	0		
Constituent	npi3	YCL032W	1	0		
Constituent	npi3	YCR034W	1	0		
Constituent	npi3	YCR061W	1	0		
Constituent	npi3	YDL173W	1	0		
Constituent	npi3	YDL195W	1	0		
Constituent	npi3	YDR004W	1	0		
Constituent	npi3	YDR093W	1	0		
Constituent	npi3	YDR475C	1	0		
Constituent	npi3	YDR490C	1	0	Kinase	
Constituent	npi3	YER155C	1	0		
Constituent	npi3	YER169W	1	0		
Constituent	npi3	YFL007W	1	0		
Constituent	npi3	YGL083W	1	0	Kinase	
Constituent	npi3	YGL222C	1	0		
Constituent	npi3	YGR178C	1	0		
Constituent	npi3	YGR184C	1	0		
Constituent	npi3	YGR281W	1	0		
Constituent	npi3	YHL009C	1	0	Yes	
Constituent	npi3	YHR146W	1	0		
Constituent	npi3	YHR158C	1	0	Yes	
Constituent	npi3	YHR159W	1	0		
Constituent	npi3	YIL038C	1	0		
Constituent	npi3	YIL129C	1	0		
Constituent	npi3	YIR003W	1	0		
Constituent	npi3	YIR006C	1	0	Yes	
Constituent	npi3	YJL020C	1	0	Yes	
Constituent	npi3	YJL080C	1	0		
Constituent	npi3	YJL095W	1	0	Kinase	
Constituent	npi3	YLL021W	1	0		
Constituent	npi3	YLR006C	1	0		
Constituent	npi3	YLR371W	1	0		
Constituent	npi3	YML059C	1	0		
Constituent	npi3	YML064C	1	0		
Constituent	npi3	YML081W	1	0		
Constituent	npi3	YML100W	1	0		
Constituent	npi3	YMR011W	1	0		
Constituent	npi3	YMR109W	1	0	Yes	
Constituent	npi3	YMR261C	1	0		
Constituent	npi3	YMR311C	1	0		
Constituent	npi3	YNL078W	1	0		
Constituent	npi3	YNL166C	1	0		
Constituent	npi3	YNL278W	1	0		
Constituent	npi3	YNL293W	1	0		
Constituent	npi3	YNR053C	1	0		
Constituent	npi3	YOL070C	1	0		
Constituent	npi3	YOL081W	1	0		
Constituent	npi3	YOL100W	1	0	Kinase	
Constituent	npi3	YOR018W	1	0		
Constituent	npi3	YOR056C	1	0		
Constituent	npi3	YOR109W	1	0		
Constituent	npi3	YOR233W	1	0	Kinase	
Constituent	npi3	YOR267C	1	0	Kinase	
Constituent	npi3	YOR329C	1	0	Yes	
Constituent	npi3	YOR352W	1	0		
Constituent	npi3	YPL133C	1	0		
Constituent	npi3	YPL141C	1	0	Kinase	
Constituent	npi3	YPL150W	1	0	Kinase	
Constituent	npi3	YPL221W	1	0		
Constituent	npi3	YPL226W	1	0		
Constituent	npi3	YPR161C	1	0	Kinase	
Constituent	pde2id61	YBL085W	1	0		
Constituent	pde2id61	YCL032W	1	0		
Constituent	pde2id61	YDR389W	1	0		
Constituent	pde2id61	YJL128C	1	0	Kinase|Yes
Constituent	pde2id61	YLL043W	1	0		
Constituent	pde2id61	YLR248W	1	0	Kinase|Yes
Constituent	pde2id61	YLR257W	1	0		
Constituent	cdc14ia27	YDR033W	1	0		
Constituent	cdc14ia27	YPL226W	1	0		
Constituent	cdc14ia27	YDR310C	1	0		
Constituent	cdc14id28	YHR149C	1	0		
Constituent	cdc14id28	YHR158C	1	0		
Constituent	hog1id49	YDR093W	1	0		
Constituent	hog1id49	YDR145W	1	0		
Constituent	hog1id49	YDR170C	1	0		
Constituent	hog1id49	YDR385W	1	0		
Constituent	hog1id49	YDR475C	1	0		
Constituent	hog1id49	YGR162W	1	0		
Constituent	hog1id49	YLR350W	1	0		
Constituent	hog1id49	YLR433C	1	0	Phosphatase	
Constituent	hog1id49	YPL242C	1	0		
Constituent	hog1id49	YPR124W	1	0		
Constituent	hog1id49	YDR310C	1	0		
Constituent	hog1id49	YJL070C	1	0		
Constituent	hog1id49	YKL054C	1	0		
Constituent	npi6	YBR225W	1	0		
Constituent	npi6	YBR245C	1	0		
Constituent	npi6	YCL037C	1	0		
Constituent	npi6	YDL226C	1	0		
Constituent	npi6	YFL021W	1	0		
Constituent	npi6	YHR097C	1	0		
Constituent	npi6	YHR102W	1	0	Kinase	
Constituent	npi6	YKL204W	1	0		
Constituent	npi6	YKR090W	1	0		
Constituent	npi6	YLR450W	1	0		
Constituent	npi6	YML075C	1	0		
Constituent	npi6	YMR275C	1	0		
Constituent	npi6	YNL166C	1	0		
Constituent	npi6	YPL226W	1	0		
Constituent	pde2id64	YAL019W	1	0		
Constituent	pde2id64	YBL047C	1	0		
Constituent	pde2id64	YFL007W	1	0		
Constituent	pde2id64	YGL181W	1	0		
Constituent	pde2id64	YIR006C	1	0		
Constituent	pde2id64	YLL040C	1	0		
Constituent	pde2id64	YMR184W	1	0		
Constituent	pde2id64	YMR275C	1	0		
Constituent	pde2id64	YPL085W	1	0		
Constituent	pde2id64	YPR041W	1	0		
Constituent	pde2id64	YJL070C	1	0		
Constituent	pde2id64	YKL054C	1	0		
Constituent	pde2id64	YPL226W	1	0		
Constituent	cdc14ia18	YGR130C	1	0		
Constituent	cdc14ia18	YIR003W	1	0		
Constituent	cdc14ia18	YOR227W	1	0		
Constituent	cdc14ia18	YFR016C	1	0		
Constituent	cdc14id19	YFL025C	1	0		
Constituent	cdc14id19	YFR048W	1	0		
Constituent	cdc14id19	YML072C	1	0		
Constituent	cdc14id19	YHR158C	1	0		
Constituent	cdc14id19	YIR003W	1	0		
Constituent	cdc14id19	YJR059W	1	0	Kinase	
Constituent	hog1id42	YBR086C	1	0		
Constituent	hog1id42	YDL117W	1	0	Yes	
Constituent	hog1id42	YDR233C	1	0		
Constituent	hog1id42	YDR292C	1	0		
Constituent	hog1id42	YDR302W	1	0		
Constituent	hog1id42	YDR326C	1	0		
Constituent	hog1id42	YER005W	1	0		
Constituent	hog1id42	YER157W	1	0		
Constituent	hog1id42	YGR180C	1	0		
Constituent	hog1id42	YHR195W	1	0		
Constituent	hog1id42	YIR003W	1	0		
Constituent	hog1id42	YJL026W	1	0		
Constituent	hog1id42	YKL054C	1	0		
Constituent	hog1id42	YLR096W	1	0	Kinase	
Constituent	hog1id42	YLR248W	1	0	Kinase	
Constituent	hog1id42	YLR257W	1	0	Yes	
Constituent	hog1id42	YML100W	1	0		
Constituent	hog1id42	YMR205C	1	0		
Constituent	hog1id42	YMR219W	1	0		
Constituent	hog1id42	YNL321W	1	0		
Constituent	hog1id42	YOL070C	1	0		
Constituent	hog1id42	YOL087C	1	0		
Constituent	hog1id42	YOR109W	1	0		
Constituent	hog1id42	YOR264W	1	0		
Constituent	hog1id42	YPL037C	1	0		
Constituent	hog1id42	YFR016C	1	0		
Constituent	hog1id42	YHR158C	1	0	Yes	
Constituent	hog1id42	YJR059W	1	0	Kinase	
Constituent	hog1id42	YLR452C	1	0		
Constituent	npi1	YBR059C	1	0	Kinase	
Constituent	npi1	YBR068C	1	0		
Constituent	npi1	YDL173W	1	0		
Constituent	npi1	YDL223C	1	0		
Constituent	npi1	YER002W	1	0		
Constituent	npi1	YER165W	1	0		
Constituent	npi1	YGL173C	1	0		
Constituent	npi1	YGR097W	1	0		
Constituent	npi1	YGR162W	1	0	Yes	
Constituent	npi1	YHR158C	1	0		
Constituent	npi1	YJR059W	1	0	Kinase|Yes
Constituent	npi1	YKL195W	1	0		
Constituent	npi1	YLR410W	1	0		
Constituent	npi1	YMR086W	1	0		
Constituent	npi1	YMR153W	1	0		
Constituent	npi1	YNL020C	1	0	Kinase|Yes
Constituent	npi1	YNL321W	1	0		
Constituent	npi1	YNR012W	1	0		
Constituent	pde2id58	YKR023W	1	0		
Constituent	pde2id58	YLR452C	1	0		
Constituent	cdc14ia20	YMR031C	1	0		
Constituent	cdc14ia20	YML027W	1	0		
Constituent	cdc14id21	YFR053C	1	0		
Constituent	cdc14id21	YJL129C	1	0		
Constituent	cdc14id21	YER165W	1	0		
Constituent	cdc14id21	YMR002W	1	0		
Constituent	cdc14id21	YNL267W	1	0		
Constituent	cdc14id21	YOR204W	1	0		
Constituent	hog1ia43	YPL190C	1	0		
Constituent	hog1ia43	YER165W	1	0		
Constituent	hog1id44	YCL005W	1	0		
Constituent	hog1id44	YDR170C	1	0		
Constituent	hog1id44	YDR348C	1	0		
Constituent	hog1id44	YDR372C	1	0		
Constituent	hog1id44	YGL099W	1	0		
Constituent	hog1id44	YGR068C	1	0		
Constituent	hog1id44	YJL029C	1	0		
Constituent	hog1id44	YLR133W	1	0		
Constituent	hog1id44	YLR259C	1	0		
Constituent	hog1id44	YML101C	1	0		
Constituent	hog1id44	YML111W	1	0		
Constituent	hog1id44	YML115C	1	0		
Constituent	hog1id44	YMR261C	1	0		
Constituent	hog1id44	YMR275C	1	0		
Constituent	hog1id44	YNL049C	1	0		
Constituent	hog1id44	YNL224C	1	0		
Constituent	hog1id44	YOR018W	1	0		
Constituent	hog1id44	YPL180W	1	0		
Constituent	hog1id44	YML027W	1	0		
Constituent	hog1id44	YMR002W	1	0		
Constituent	hog1id44	YNL267W	1	0		
Constituent	hog1id44	YOL138C	1	0		
Constituent	hog1id44	YOR204W	1	0		
Constituent	hog1id44	YPL070W	1	0		
Constituent	npi2	YAR002W	1	0		
Constituent	npi2	YBR172C	1	0		
Constituent	npi2	YDR017C	1	0		
Constituent	npi2	YDR338C	1	0		
Constituent	npi2	YDR450W	1	0		
Constituent	npi2	YER167W	1	0		
Constituent	npi2	YFL007W	1	0		
Constituent	npi2	YGR097W	1	0		
Constituent	npi2	YGR240C	1	0		
Constituent	npi2	YKL105C	1	0		
