#Node1	Node2
YDR486C	YMR117C
YDR486C	YOL069W
YDR486C	YOR117W
YDR489W	YEL032W
YDR489W	YGL201C
YDR489W	YGL207W
YDR489W	YIL150C
YDR489W	YJL072C
YDR489W	YKL108W
YDR489W	YLR103C
YDR489W	YLR274W
YDR489W	YML069W
YDR489W	YMR048W
YDR489W	YNL102W
YDR489W	YNL262W
YDR489W	YNL273W
YDR489W	YOL006C
YDR489W	YOL133W
YDR489W	YOL146W
YDR489W	YOR080W
YDR489W	YPR019W
YDR489W	YPR135W
YDR490C	YER025W
YDR490C	YJR007W
YDR490C	YJR059W
YDR490C	YML074C
YDR490C	YMR109W
YDR490C	YOR061W
YDR490C	YPL237W
YDR495C	YKR014C
YDR495C	YLR148W
YDR495C	YLR396C
YDR495C	YML001W
YDR495C	YMR231W
YDR495C	YOR089C
YDR495C	YPL045W
YDR496C	YGL111W
YDR496C	YHR170W
YDR496C	YKL021C
YDR496C	YKL130C
YDR496C	YKL185W
YDR496C	YLR009W
YDR496C	YPL093W
YDR496C	YPR016C
YDR496C	YPR143W
YDR497C	YER125W
YDR497C	YHR076W
YDR497C	YNL217W
YDR497C	YNL307C
YDR498C	YGL098W
YDR498C	YGL145W
YDR498C	YKL196C
YDR498C	YLR268W
YDR498C	YLR440C
YDR498C	YNL258C
YDR498C	YOR075W
YDR498C	YOR254C
YDR499W	YGR218W
YDR499W	YJL090C
YDR501W	YFL009W
YDR502C	YER068W
YDR502C	YHR084W
YDR502C	YLL039C
YDR502C	YLR180W
YDR502C	YNL288W
YDR505C	YGL122C
YDR507C	YDR510W
YDR507C	YEL012W
YDR507C	YEL053C
YDR507C	YFR027W
YDR507C	YGL187C
YDR507C	YGR017W
YDR507C	YHR088W
YDR507C	YHR107C
YDR507C	YIL010W
YDR507C	YIL159W
YDR507C	YJL095W
YDR507C	YJR047C
YDR507C	YJR076C
YDR507C	YJR083C
YDR507C	YKL101W
YDR507C	YKR048C
YDR507C	YLL054C
YDR507C	YLR003C
YDR507C	YLR208W
YDR507C	YLR258W
YDR507C	YLR314C
YDR507C	YMR110C
YDR507C	YMR139W
YDR507C	YMR153W
YDR507C	YMR235C
YDR507C	YNL027W
YDR507C	YNL078W
YDR507C	YNL166C
YDR507C	YNL272C
YDR507C	YOR141C
YDR507C	YOR231W
YDR507C	YOR260W
YDR507C	YOR288C
YDR507C	YPL133C
YDR507C	YPL153C
YDR507C	YPR083W
YDR508C	YPL265W
YDR510W	YEL007W
YDR510W	YEL009C
YDR510W	YEL032W
YDR510W	YER016W
YDR510W	YER029C
YDR510W	YER032W
YDR510W	YER041W
YDR510W	YER047C
YDR510W	YER120W
YDR510W	YER162C
YDR510W	YER171W
YDR510W	YER173W
YDR510W	YFL008W
YDR510W	YFL039C
YDR510W	YFL045C
YDR510W	YFR028C
YDR510W	YFR031C
YDR510W	YFR037C
YDR510W	YGL026C
YDR510W	YGL090W
YDR510W	YGL201C
YDR510W	YGR048W
YDR510W	YGR186W
YDR510W	YGR214W
YDR510W	YGR285C
YDR510W	YHR084W
YDR510W	YHR187W
YDR510W	YHR193C
YDR510W	YIL143C
YDR510W	YIR034C
YDR510W	YJL074C
YDR510W	YJL092W
YDR510W	YJL128C
YDR510W	YJL140W
YDR510W	YJL187C
YDR510W	YJR052W
YDR510W	YJR089W
YDR510W	YJR104C
YDR510W	YKL032C
YDR510W	YKL112W
YDR510W	YKL172W
YDR510W	YKL211C
YDR510W	YKR010C
YDR510W	YLL026W
YDR510W	YLR032W
YDR510W	YLR033W
YDR510W	YLR048W
YDR510W	YLR086W
YDR510W	YLR263W
YDR510W	YLR274W
YDR510W	YLR328W
YDR510W	YLR335W
YDR510W	YLR350W
YDR510W	YLR357W
YDR510W	YLR383W
YDR510W	YLR394W
YDR510W	YLR442C
YDR510W	YML010W
YDR510W	YML023C
YDR510W	YML032C
YDR510W	YML060W
YDR510W	YML061C
YDR510W	YML069W
YDR510W	YML095C
YDR510W	YMR076C
YDR510W	YMR106C
YDR510W	YMR111C
YDR510W	YMR167W
YDR510W	YMR168C
YDR510W	YMR190C
YDR510W	YMR219W
YDR510W	YMR233W
YDR510W	YMR284W
YDR510W	YNL021W
YDR510W	YNL030W
YDR510W	YNL031C
YDR510W	YNL042W
YDR510W	YNL061W
YDR510W	YNL078W
YDR510W	YNL178W
YDR510W	YNL216W
YDR510W	YNL312W
YDR510W	YOL006C
YDR510W	YOL034W
YDR510W	YOL043C
YDR510W	YOR032C
YDR510W	YOR144C
YDR510W	YOR156C
YDR510W	YOR191W
YDR510W	YOR269W
YDR510W	YPL022W
YDR510W	YPL129W
YDR510W	YPL153C
YDR510W	YPL269W
YDR510W	YPR019W
YDR510W	YPR103W
YDR510W	YPR180W
YDR513W	YIR037W
YDR514C	YOL012C
YDR515W	YPR161C
YDR516C	YER123W
YDR516C	YGR232W
YDR516C	YKL117W
YDR516C	YPL026C
YDR516C	YPL150W
YDR517W	YHR098C
YDR517W	YIL109C
YDR517W	YNL049C
YDR517W	YPR181C
YDR523C	YEL039C
YDR523C	YER100W
YDR523C	YGL019W
YDR523C	YGL202W
YDR523C	YGL245W
YDR523C	YJL141C
YDR523C	YKL023W
YDR523C	YKL114C
YDR523C	YKL126W
YDR523C	YKL193C
YDR523C	YLL018C
YDR523C	YMR196W
YDR523C	YMR235C
YDR523C	YNL001W
YDR523C	YNL186W
YDR523C	YOR094W
YDR523C	YOR157C
YDR523C	YOR177C
YDR523C	YPL106C
YDR523C	YPL133C
YDR523C	YPR082C
YDR527W	YJR072C
YDR529C	YPR191W
YDR532C	YGL093W
YDR532C	YIR010W
YDR533C	YPL240C
YDR538W	YMR022W
YEL002C	YER019CA
YEL002C	YER087CB
YEL002C	YGL022W
YEL002C	YGL137W
YEL002C	YGL226CA
YEL002C	YJL002C
YEL002C	YLR378C
YEL002C	YML019W
YEL002C	YMR149W
YEL002C	YNL287W
YEL002C	YOR085W
YEL002C	YOR103C
YEL003W	YGR078C
YEL003W	YLR200W
YEL003W	YML094W
YEL005C	YEL013W
YEL005C	YGL079W
YEL005C	YNL086W
YEL009C	YER022W
YEL009C	YER040W
YEL009C	YER148W
YEL009C	YFL009W
YEL009C	YFL024C
YEL009C	YGL025C
YEL009C	YGL112C
YEL009C	YGL201C
YEL009C	YGR274C
YEL009C	YHL025W
YEL009C	YHR041C
YEL009C	YHR090C
YEL009C	YHR099W
YEL009C	YHR143WA
YEL009C	YHR200W
YEL009C	YIL126W
YEL009C	YLL039C
YEL009C	YML098W
YEL009C	YMR236W
YEL009C	YNL084C
YEL009C	YNL216W
YEL009C	YNR023W
YEL009C	YOL051W
YEL009C	YOL148C
YEL009C	YOR023C
YEL009C	YOR117W
YEL009C	YOR174W
YEL009C	YOR290C
YEL009C	YOR298CA
YEL009C	YPL016W
YEL009C	YPL129W
YEL009C	YPR025C
YEL009C	YPR034W
YEL009C	YPR086W
YEL012W	YER125W
YEL012W	YHR205W
YEL012W	YKL048C
YEL012W	YLR377C
YEL012W	YMR291W
YEL012W	YOL054W
YEL012W	YPL141C
YEL013W	YEL043W
YEL013W	YER123W
YEL013W	YFL039C
YEL013W	YFR035C
YEL013W	YGL180W
YEL013W	YGR262C
YEL013W	YHR195W
YEL013W	YIL129C
YEL013W	YKL196C
YEL013W	YKR007W
YEL013W	YMR197C
YEL013W	YOR106W
YEL013W	YPL180W
YEL013W	YPR185W
YEL015W	YGL173C
YEL015W	YMR080C
YEL015W	YNL118C
YEL015W	YOL149W
YEL015W	YPR129W
YEL017CA	YJR091C
YEL017CA	YPR042C
YEL018W	YFL024C
YEL018W	YFL039C
YEL018W	YGR002C
YEL018W	YHR090C
YEL018W	YHR099W
YEL018W	YJL081C
YEL018W	YNL107W
YEL018W	YNL136W
YEL018W	YOR244W
YEL018W	YPR023C
YEL019C	YHR154W
YEL019C	YLR383W
YEL020WA	YGR029W
YEL020WA	YHR005CA
YEL020WA	YJL054W
YEL020WA	YKL195W
YEL020WA	YOR297C
YEL022W	YGR120C
YEL022W	YGR166W
YEL022W	YJR031C
YEL022W	YKR030W
YEL022W	YKR068C
YEL022W	YMR218C
YEL022W	YNL267W
YEL022W	YNL287W
YEL022W	YOR115C
YEL022W	YPR105C
YEL024W	YER107C
YEL024W	YGL187C
YEL024W	YGL191W
YEL024W	YGR033C
YEL024W	YGR112W
YEL024W	YML030W
YEL024W	YML129C
YEL024W	YNR017W
YEL024W	YNR018W
YEL024W	YPL063W
YEL024W	YPR191W
YEL026W	YER172C
YEL026W	YGL120C
YEL026W	YLL036C
YEL026W	YLR197W
YEL026W	YMR047C
YEL026W	YOR310C
YEL026W	YPL193W
YEL027W	YGR105W
YEL027W	YHR026W
YEL027W	YOR270C
YEL027W	YPL234C
YEL029C	YGR092W
YEL029C	YNL298W
YEL029C	YOL061W
YEL029C	YOL113W
YEL029C	YPL150W
YEL029C	YPL204W
YEL029C	YPR111W
YEL030W	YOR232W
YEL032W	YGL113W
YEL032W	YGL201C
YEL032W	YIL150C
YEL032W	YJL072C
YEL032W	YJR046W
YEL032W	YKL108W
YEL032W	YLR103C
YEL032W	YLR274W
YEL032W	YML065W
YEL032W	YNL182C
YEL032W	YNL273W
YEL032W	YOL146W
YEL032W	YPR019W
YEL032W	YPR135W
YEL034W	YER025W
YEL034W	YFL023W
YEL034W	YFR031CA
YEL034W	YGL122C
YEL034W	YGR285C
YEL034W	YHL033C
YEL034W	YHR068W
YEL034W	YJL177W
YEL034W	YJL190C
YEL034W	YJL191W
YEL034W	YJR007W
YEL034W	YJR070C
YEL034W	YJR145C
YEL034W	YLL045C
YEL034W	YLR340W
YEL034W	YML063W
YEL034W	YML073C
YEL034W	YMR012W
YEL034W	YNL004W
YEL034W	YNL209W
YEL034W	YNL244C
YEL034W	YNL302C
YEL034W	YOL117W
YEL034W	YOR063W
YEL034W	YOR133W
YEL034W	YOR361C
YEL034W	YPL207W
YEL034W	YPL237W
YEL034W	YPR080W
YEL036C	YER001W
YEL036C	YFL048C
YEL036C	YJL183W
YEL036C	YJR075W
YEL036C	YLR026C
YEL036C	YLR268W
YEL036C	YLR378C
YEL036C	YML115C
YEL036C	YPL050C
YEL037C	YER012W
YEL037C	YER143W
YEL037C	YER148W
YEL037C	YER162C
YEL037C	YFR004W
YEL037C	YFR052W
YEL037C	YGL048C
YEL037C	YGL150C
YEL037C	YGL179C
YEL037C	YGL207W
YEL037C	YHL025W
YEL037C	YHR027C
YEL037C	YHR134W
YEL037C	YHR200W
YEL037C	YIL143C
YEL037C	YJR052W
YEL037C	YKL145W
YEL037C	YLL039C
YEL037C	YLR079W
YEL037C	YMR201C
YEL037C	YMR276W
YEL037C	YOR117W
YEL037C	YOR157C
YEL037C	YOR257W
YEL037C	YOR259C
YEL037C	YPL096W
YEL037C	YPL122C
YEL037C	YPL141C
YEL042W	YLR166C
YEL043W	YGR218W
YEL043W	YLR293C
YEL044W	YGL150C
YEL044W	YOR189W
YEL046C	YLL039C
YEL046C	YPL249C
YEL047C	YPL150W
YEL048C	YER090W
YEL048C	YGR155W
YEL048C	YGR166W
YEL048C	YKL033W
YEL048C	YKR068C
YEL048C	YML077W
YEL048C	YMR218C
YEL048C	YOR074C
YEL048C	YOR115C
YEL048C	YPL110C
YEL048C	YPL143W
YEL051W	YGR020C
YEL051W	YHR039CA
YEL051W	YJL036W
YEL051W	YJR033C
YEL051W	YKL080W
YEL051W	YMR054W
YEL051W	YOR270C
YEL051W	YOR332W
YEL051W	YPR036W
YEL053C	YNL183C
YEL053C	YPR051W
YEL054C	YER012W
YEL054C	YGL031C
YEL054C	YGL246C
YEL054C	YHR170W
YEL054C	YHR197W
YEL054C	YIR026C
YEL054C	YKL009W
YEL054C	YKR081C
YEL054C	YKR084C
YEL054C	YLR075W
YEL054C	YLR340W
YEL055C	YJL095W
YEL055C	YLL019C
YEL055C	YPL141C
YEL056W	YER110C
YEL056W	YHR118C
YEL056W	YJL115W
YEL056W	YLL004W
YEL056W	YLL022C
YEL056W	YML065W
YEL056W	YNL030W
YEL056W	YNL031C
YEL056W	YNL261W
YEL056W	YPL001W
YEL056W	YPR162C
YEL059CA	YMR150C
YEL061C	YGR229C
YEL061C	YLL039C
YEL061C	YOR058C
YEL062W	YGL100W
YEL062W	YJR090C
YEL062W	YJR138W
YEL062W	YKL048C
YEL062W	YLR096W
YEL062W	YNL307C
YEL062W	YOL138C
YEL063C	YML052W
YEL064C	YGL212W
YEL065W	YGL071W
YEL065W	YLL039C
YEL066W	YGR218W
YEL071W	YLL039C
YEL071W	YPL063W
YER001W	YER157W
YER002W	YGL111W
YER002W	YGR103W
YER002W	YHR066W
YER002W	YKL021C
YER002W	YLR009W
YER002W	YOR272W
YER002W	YPL093W
YER002W	YPR016C
YER002W	YPR143W
YER003C	YER013W
YER004W	YML067C
YER005W	YPR036W
YER006W	YER110C
YER006W	YER133W
YER006W	YGL099W
YER006W	YGL111W
YER006W	YGL120C
YER006W	YGR103W
YER006W	YGR245C
YER006W	YHR052W
YER006W	YHR197W
YER006W	YJL010C
YER006W	YJL122W
YER006W	YJR110W
YER006W	YKL009W
YER006W	YKL014C
YER006W	YLR002C
YER006W	YLR009W
YER006W	YLR106C
YER006W	YLR340W
YER006W	YLR457C
YER006W	YMR047C
YER006W	YMR049C
YER006W	YMR290C
YER006W	YNL002C
YER006W	YNL061W
YER006W	YNL227C
YER006W	YOR063W
YER006W	YOR206W
YER006W	YOR267C
YER006W	YPL093W
YER006W	YPL131W
YER006W	YPL146C
YER006W	YPL211W
YER006W	YPR016C
YER006W	YPR161C
YER007CA	YJR014W
YER007W	YER012W
YER007W	YHR027C
YER007W	YHR200W
YER007W	YML085C
YER007W	YOR349W
YER008C	YFL005W
YER008C	YGR218W
YER008C	YIL068C
YER008C	YIL118W
YER008C	YJL080C
YER008C	YJL085W
YER008C	YKL130C
YER008C	YLR166C
YER008C	YLR229C
YER008C	YLR293C
YER008C	YOR326W
YER008C	YPR055W
YER008C	YPR165W
YER009W	YJL041W
YER009W	YLR293C
YER009W	YOL128C
YER011W	YPL178W
YER012W	YER021W
YER012W	YER094C
YER012W	YER099C
YER012W	YER103W
YER012W	YER177W
YER012W	YFL007W
YER012W	YFL009W
YER012W	YFR004W
YER012W	YFR010W
YER012W	YFR050C
YER012W	YFR052W
YER012W	YGL011C
YER012W	YGL026C
YER012W	YGL048C
YER012W	YGL058W
YER012W	YGL141W
YER012W	YGL147C
YER012W	YGL244W
YER012W	YGR135W
YER012W	YGR193C
YER012W	YGR232W
YER012W	YGR253C
YER012W	YHL030W
YER012W	YHR027C
YER012W	YHR134W
YER012W	YHR174W
YER012W	YHR200W
YER012W	YIL018W
YER012W	YIL075C
YER012W	YJL001W
YER012W	YJL130C
YER012W	YKL145W
YER012W	YKL206C
YER012W	YLL024C
YER012W	YLL039C
YER012W	YLL054C
YER012W	YLR021W
YER012W	YLR058C
YER012W	YLR199C
YER012W	YLR276C
YER012W	YLR421C
YER012W	YML092C
YER012W	YMR076C
YER012W	YMR116C
YER012W	YMR186W
YER012W	YMR247C
YER012W	YMR276W
YER012W	YMR314W
YER012W	YNL016W
YER012W	YNL209W
YER012W	YNR016C
YER012W	YOL038W
YER012W	YOL145C
YER012W	YOR117W
YER012W	YOR123C
YER012W	YOR157C
YER012W	YOR259C
YER012W	YOR261C
YER012W	YOR362C
YER012W	YPL110C
YER012W	YPL131W
YER012W	YPL144W
YER012W	YPR080W
YER012W	YPR103W
YER012W	YPR108W
YER012W	YPR120C
YER013W	YKR024C
YER013W	YKR086W
YER013W	YLR117C
YER013W	YML091C
YER013W	YPL012W
YER014W	YJL092W
YER015W	YJL095W
YER016W	YFR050C
YER016W	YGR048W
YER016W	YGR113W
YER016W	YHR134W
YER016W	YLR045C
YER016W	YLR319C
YER016W	YML085C
YER016W	YML124C
YER016W	YNL078W
YER016W	YOR156C
YER016W	YOR191W
YER016W	YPL269W
YER017C	YGR132C
YER017C	YGR231C
YER017C	YMR089C
YER017C	YMR115W
YER017C	YPR024W
YER018C	YFR046C
YER018C	YGL060W
YER018C	YIL144W
YER018C	YIR010W
YER018C	YJR112W
YER018C	YMR117C
YER018C	YOL069W
YER019CA	YGL022W
YER019CA	YJL002C
YER019CA	YJR010CA
YER019CA	YML019W
YER019CA	YML055W
YER019CA	YOR103C
YER020W	YGL121C
YER020W	YGR040W
YER020W	YJL005W
YER020W	YMR116C
YER020W	YOR107W
YER020W	YOR371C
YER020W	YPL268W
YER021W	YFR004W
YER021W	YFR052W
YER021W	YGL004C
YER021W	YGR232W
YER021W	YHR027C
YER021W	YHR200W
YER021W	YIL075C
YER021W	YLL039C
YER021W	YMR287C
YER021W	YOR261C
YER021W	YPR108W
YER021W	YPR119W
YER022W	YER148W
YER022W	YGL025C
YER022W	YGL048C
YER022W	YGL070C
YER022W	YGL127C
YER022W	YGL151W
YER022W	YGL158W
YER022W	YGR005C
YER022W	YGR104C
YER022W	YGR186W
YER022W	YGR252W
YER022W	YHR041C
YER022W	YHR058C
YER022W	YHR143WA
YER022W	YIL021W
YER022W	YJL140W
YER022W	YJL167W
YER022W	YLR071C
YER022W	YLR113W
YER022W	YMR112C
YER022W	YNL236W
YER022W	YNR010W
YER022W	YOL005C
YER022W	YOL051W
YER022W	YOL135C
YER022W	YOR151C
YER022W	YOR174W
YER022W	YOR210W
YER022W	YOR224C
YER022W	YPL042C
YER022W	YPL082C
YER022W	YPL129W
YER022W	YPL248C
YER022W	YPR056W
YER022W	YPR070W
YER022W	YPR187W
YER023W	YGL137W
YER023W	YLR291C
YER025W	YER133W
YER025W	YGL158W
YER025W	YGR052W
YER025W	YGR083C
YER025W	YGR214W
YER025W	YHR205W
YER025W	YJL164C
YER025W	YJR007W
YER025W	YKL205W
YER025W	YLR215C
YER025W	YLR291C
YER025W	YMR146C
YER025W	YOR260W
YER025W	YOR361C
YER025W	YPL237W
YER025W	YPR041W
YER027C	YGL115W
YER027C	YJL089W
YER027C	YJL217W
YER027C	YNL183C
YER028C	YIL106W
YER029C	YER112W
YER029C	YER172C
YER029C	YLL036C
YER029C	YLR116W
YER029C	YLR117C
YER029C	YLR147C
YER029C	YLR438CA
YER029C	YPL157W
YER029C	YPL213W
YER030W	YLR442C
YER030W	YOL012C
YER031C	YER110C
YER031C	YER133W
YER031C	YER136W
YER031C	YFL038C
YER031C	YGL198W
YER031C	YGR172C
YER031C	YJL204C
YER031C	YKR068C
YER031C	YLR026C
YER031C	YMR218C
YER031C	YNL044W
YER031C	YNL263C
YER031C	YNL272C
YER031C	YOL018C
YER031C	YOR326W
YER032W	YER161C
YER032W	YGL003C
YER032W	YGR140W
YER032W	YGR178C
YER032W	YHR152W
YER032W	YJL092W
YER032W	YKR002W
YER032W	YMR117C
YER032W	YNL161W
YER032W	YOR144C
YER033C	YFL023W
YER033C	YLR096W
YER033C	YNL161W
YER036C	YER082C
YER036C	YGL068W
YER036C	YGL099W
YER036C	YGR054W
YER036C	YGR204W
YER036C	YGR285C
YER036C	YHL033C
YER036C	YHR121W
YER036C	YIL133C
YER036C	YJL080C
YER036C	YJL136C
YER036C	YJR059W
YER036C	YKL006W
YER036C	YKL182W
YER036C	YKR057W
YER036C	YLL011W
YER036C	YLL024C
YER036C	YLR175W
YER036C	YLR197W
YER036C	YLR249W
YER036C	YML073C
YER036C	YMR012W
YER036C	YMR108W
YER036C	YNL020C
YER036C	YNL064C
YER036C	YNL161W
YER036C	YNL185C
YER036C	YNL302C
YER036C	YOL039W
YER036C	YOR091W
YER036C	YOR204W
YER036C	YOR234C
YER036C	YOR310C
YER036C	YPR016C
YER038C	YHR154W
YER038C	YIR002C
YER038C	YML023C
YER038C	YOL034W
YER040W	YGL167C
YER040W	YGR218W
YER040W	YJR066W
YER040W	YKL203C
YER040W	YMR139W
YER040W	YNL189W
YER040W	YNL229C
YER040W	YPL153C
YER041W	YPR120C
YER042W	YGR209C
YER042W	YIR037W
YER042W	YLR043C
YER043C	YFL028C
YER044CA	YHR086W
YER044CA	YHR157W
YER044CA	YJR021C
YER044CA	YLR329W
YER044CA	YMR133W
YER044C	YGL001C
YER044C	YGL012W
YER044C	YGR060W
YER044C	YGR175C
YER044C	YHR007C
YER044C	YHR072W
YER044C	YHR190W
YER044C	YLR056W
YER044C	YLR100W
YER044C	YML008C
YER044C	YMR202W
YER044C	YNL280C
YER047C	YER161C
YER047C	YGR140W
YER047C	YJL092W
YER047C	YOR144C
YER048WA	YOR232W
YER049W	YER165W
YER049W	YMR047C
YER049W	YPL141C
YER050C	YKL155C
YER051W	YNL030W
YER051W	YNL031C
YER052C	YGL190C
YER052C	YNL135C
YER054C	YER133W
YER054C	YGL134W
YER054C	YGR052W
YER054C	YJL164C
YER054C	YKL166C
YER054C	YML016C
YER054C	YML088W
YER054C	YPL203W
YER056CA	YNL255C
YER059W	YGR109C
YER059W	YKL103C
YER059W	YLR079W
YER059W	YMR165C
YER059W	YPL031C
YER059W	YPL046C
YER065C	YHR186C
YER065C	YJR066W
YER065C	YNL006W
YER065C	YPL180W
YER067W	YLL039C
YER067W	YNL161W
YER068W	YFR004W
YER068W	YGL011C
YER068W	YGR134W
YER068W	YGR135W
YER068W	YGR195W
YER068W	YGR253C
YER068W	YHL030W
YER068W	YIL038C
YER068W	YIL149C
YER068W	YJL050W
YER068W	YLR180W
YER068W	YML007W
YER068W	YML092C
YER068W	YMR314W
YER068W	YNL278W
YER068W	YNL288W
YER068W	YNR052C
YER068W	YOL038W
YER068W	YOL123W
YER068W	YOR261C
YER068W	YOR362C
YER068W	YPL037C
YER068W	YPR072W
YER070W	YGR180C
YER070W	YJL026W
YER070W	YKL117W
YER070W	YML058W
YER071C	YIR003W
YER072W	YFL004W
YER072W	YJL012C
YER072W	YOR270C
YER072W	YPL019C
YER074WA	YGR172C
YER074WA	YNL263C
YER074W	YHR119W
YER074W	YHR154W
YER074W	YNL207W
YER075C	YLR113W
YER078C	YML036W
YER081W	YIL074C
YER082C	YFR028C
YER082C	YGR128C
YER082C	YIL019W
YER082C	YJL010C
YER082C	YJL076W
YER082C	YJR002W
YER082C	YJR089W
YER082C	YKL117W
YER082C	YLL011W
YER082C	YMR290C
YER082C	YOR310C
YER082C	YPL204W
YER083C	YGL020C
YER087CB	YFL005W
YER087CB	YGL022W
YER087CB	YGL233W
YER087CB	YJL002C
YER087CB	YJR010CA
YER087CB	YKL145W
YER087CB	YLR378C
YER087CB	YML019W
YER087CB	YML055W
YER087CB	YMR149W
YER087CB	YOR085W
YER087CB	YOR103C
YER087CB	YOR254C
YER087CB	YPL094C
YER087CB	YPR028W
YER087CB	YPR055W
YER087W	YLR362W
YER087W	YNL183C
YER087W	YOL128C
YER088C	YIL084C
YER089C	YGL019W
YER089C	YIL033C
YER089C	YPL153C
YER090W	YKL211C
YER092W	YGL150C
YER092W	YJL141C
YER092W	YLR052W
YER092W	YOR189W
YER093C	YGR040W
YER093C	YIL105C
YER093C	YKL126W
YER093C	YKL203C
YER093C	YMR068W
YER093C	YMR104C
YER093C	YNL006W
YER093C	YOL078W
YER094C	YFR004W
YER094C	YFR050C
YER094C	YJL001W
YER094C	YOR157C
YER094C	YPR103W
YER095W	YGL163C
YER095W	YJL092W
YER095W	YLR127C
YER095W	YLR394W
YER095W	YML032C
YER095W	YMR190C
YER095W	YNL031C
YER095W	YPL121C
YER098W	YOL087C
YER099C	YFR004W
YER099C	YHR030C
YER099C	YKL181W
YER099C	YMR139W
YER099C	YOL061W
YER101C	YKL117W
YER102W	YGL031C
YER102W	YHL034C
YER102W	YNL207W
YER102W	YNL255C
YER102W	YPL037C
YER103W	YJL061W
YER103W	YJR132W
YER103W	YLR293C
YER103W	YNL124W
YER103W	YOR027W
YER103W	YPR119W
YER105C	YER107C
YER105C	YFR002W
YER105C	YFR050C
YER105C	YGL092W
YER105C	YGL100W
YER105C	YGL172W
YER105C	YGL201C
YER105C	YJR042W
YER105C	YKL057C
YER105C	YKR082W
YER105C	YLL039C
YER105C	YLR018C
YER105C	YLR208W
YER105C	YML031W
YER105C	YMR047C
YER105C	YMR129W
YER105C	YMR153W
YER105C	YNR047W
YER105C	YOR098C
YER105C	YPL004C
YER105C	YPR080W
YER106W	YMR001C
YER106W	YPL204W
YER107C	YFR002W
YER107C	YGL122C
YER107C	YIL115C
YER107C	YJL039C
YER107C	YJL041W
YER107C	YJL061W
YER107C	YML103C
YER107C	YMR047C
YER107C	YMR129W
YER107C	YNL189W
YER107C	YPR119W
YER109C	YHR084W
YER109C	YMR164C
YER110C	YER120W
YER110C	YGL097W
YER110C	YGR012W
YER110C	YGR119C
YER110C	YGR192C
YER110C	YGR214W
YER110C	YHL033C
YER110C	YHR102W
YER110C	YHR186C
YER110C	YHR192W
YER110C	YJL041W
YER110C	YJL115W
YER110C	YJL117W
YER110C	YJL208C
YER110C	YJR075W
YER110C	YJR077C
YER110C	YJR123W
YER110C	YKL068W
YER110C	YKL120W
YER110C	YLR293C
YER110C	YLR335W
YER110C	YLR441C
YER110C	YLR457C
YER110C	YML007W
YER110C	YML008C
YER110C	YML063W
YER110C	YMR047C
YER110C	YMR127C
YER110C	YMR183C
YER110C	YMR241W
YER110C	YNL007C
YER110C	YNL030W
YER110C	YNL031C
YER110C	YNL055C
YER110C	YOL012C
YER110C	YOL127W
YER110C	YOR098C
YER110C	YOR185C
YER110C	YOR213C
YER110C	YPL001W
YER110C	YPL075W
YER110C	YPL215W
YER110C	YPR093C
YER110C	YPR174C
YER111C	YER167W
YER111C	YGL207W
YER111C	YKR077W
YER111C	YLL036C
YER111C	YLR182W
YER111C	YML069W
YER111C	YOR066W
YER111C	YOR083W
YER111C	YPL153C
YER111C	YPR119W
YER112W	YER146W
YER112W	YER165W
YER112W	YER172C
YER112W	YGL049C
YER112W	YGL173C
YER112W	YGR162W
YER112W	YJL124C
YER112W	YJR022W
YER112W	YLL036C
YER112W	YLR275W
YER112W	YLR438CA
YER112W	YMR268C
YER112W	YNL118C
YER112W	YNL145W
YER112W	YNL147W
YER112W	YOL139C
YER112W	YOL149W
YER112W	YOR204W
YER112W	YPR080W
YER114C	YER177W
YER116C	YHR134W
YER116C	YOR144C
YER116C	YPL082C
YER117W	YGR103W
YER117W	YJL141C
YER118C	YGR014W
YER118C	YJL128C
YER118C	YLR353W
YER118C	YLR362W
YER118C	YLR452C
YER118C	YMR032W
YER118C	YNL152W
YER118C	YOR181W
YER118C	YOR188W
YER118C	YOR208W
YER118C	YPR032W
YER119C	YOL016C
YER120W	YHL020C
YER120W	YJL095W
YER120W	YKL065C
YER120W	YMR216C
YER122C	YFL048C
YER122C	YGL200C
YER122C	YIL004C
YER122C	YLR026C
YER122C	YLR078C
YER122C	YLR178C
YER122C	YLR268W
YER122C	YML012W
YER122C	YNL287W
YER123W	YGR264C
YER123W	YKL210W
YER123W	YLL024C
YER123W	YNL049C
YER123W	YOL083W
YER124C	YHR200W
YER124C	YLR362W
YER124C	YOR212W
YER125W	YFL039C
YER125W	YFR028C
YER125W	YFR051C
YER125W	YGL137W
YER125W	YGL144C
YER125W	YGL206C
YER125W	YGL219C
YER125W	YGR005C
YER125W	YGR052W
YER125W	YGR186W
YER125W	YGR268C
YER125W	YHL002W
YER125W	YHR097C
YER125W	YHR143WA
YER125W	YHR165C
YER125W	YIL021W
YER125W	YJL140W
YER125W	YKL150W
YER125W	YKR097W
YER125W	YLL039C
YER125W	YLR069C
YER125W	YLR342W
YER125W	YML010W
YER125W	YMR022W
YER125W	YMR120C
YER125W	YMR182C
YER125W	YNL183C
YER125W	YNL220W
YER125W	YNL243W
YER125W	YNL287W
YER125W	YOL005C
YER125W	YOR124C
YER125W	YOR138C
YER125W	YOR151C
YER125W	YOR181W
YER125W	YOR210W
YER125W	YOR224C
YER125W	YOR322C
YER125W	YPL084W
YER125W	YPR074C
