#item	conf(sigma) (out of 1000 total sols)
p89	0.904000
p88	0.886000
p83	0.905000
p82	0.912000
p81	0.910000
p80	0.903000
p87	0.928000
p86	0.920000
p85	0.916000
p84	0.894000
p161	0.869000
p98	0.907000
p99	0.912000
p90	0.871000
p91	0.001000
p92	0.916000
p93	0.896000
p94	0.919000
p95	0.907000
p96	0.896000
p97	0.911000
p10	0.921000
p11	0.863000
p12	0.055000
p14	0.904000
p15	0.911000
p16	0.887000
p17	0.912000
p18	0.912000
p19	0.921000
p25	0.911000
p24	0.002000
p27	0.822000
p26	0.819000
p20	0.922000
p23	0.902000
p22	0.901000
p29	0.897000
p28	0.877000
p156	0.887000
p157	0.896000
p154	0.622000
p155	0.903000
p152	0.816000
p153	0.903000
p150	0.909000
p151	0.626000
p158	0.584000
p159	0.900000
p134	0.907000
p135	0.903000
p136	0.001000
p137	0.908000
p131	0.808000
p132	0.905000
p133	0.922000
p138	0.902000
p139	0.895000
p38	0.626000
p39	0.918000
p32	0.656000
p33	0.449000
p31	0.098000
p36	0.823000
p37	0.906000
p34	0.907000
p35	0.907000
p108	0.823000
p141	0.904000
p140	0.002000
p143	0.038000
p142	0.187000
p144	0.901000
p147	0.861000
p146	0.899000
p149	0.901000
p148	0.192000
p46	0.421000
p127	0.916000
p126	0.906000
p125	0.832000
p124	0.832000
p123	0.784000
p122	0.912000
p121	0.925000
p120	0.656000
p129	0.898000
p128	0.906000
p49	0.920000
p48	0.001000
p47	0.891000
p109	0.916000
p45	0.330000
p44	0.910000
p43	0.901000
p42	0.915000
p41	0.904000
p40	0.855000
p69	0.007000
p68	0.363000
p112	0.883000
p113	0.922000
p110	0.870000
p111	0.892000
p116	0.845000
p117	0.894000
p114	0.922000
p115	0.818000
p118	0.620000
p119	0.884000
p59	0.901000
p54	0.955000
p55	0.421000
p56	0.845000
p57	0.897000
p50	0.916000
p51	0.906000
p52	0.898000
p53	0.845000
p2	0.503000
p3	0.885000
p0	0.054000
p1	0.875000
p6	0.812000
p7	0.922000
p4	0.910000
p5	0.048000
p8	0.909000
p9	0.957000
p61	0.908000
p60	0.906000
p63	0.854000
p62	0.001000
p65	0.896000
p64	0.915000
p67	0.363000
p66	0.878000
p105	0.894000
p104	0.904000
p107	0.914000
p106	0.002000
p101	0.903000
p100	0.902000
p103	0.904000
p102	0.904000
p76	0.917000
p77	0.891000
p74	0.909000
p75	0.003000
p72	0.845000
p73	0.914000
p70	0.901000
p71	0.901000
p78	0.906000
p79	0.892000
