#item	conf(x) (out of 1000 total sols)
edge3763	0.909000
edge24771	0.910000
edge800	0.845000
edge17964	0.904000
edge16425	0.946000
edge15699	0.906000
edge1769	0.363000
edge11186	0.887000
edge21205	0.910000
edge5615	0.626000
edge6996	0.912000
edge5998	0.818000
edge17632	0.620000
edge16759	0.953000
edge14529	0.911000
edge26074	0.954000
edge15249	0.912000
edge8196	0.947000
edge25280	0.503000
edge13844	0.962000
edge11107	0.871000
edge11405	0.909000
edge7586	0.937000
edge17238	0.912000
edge5848	0.330000
edge26809	0.627000
edge10425	0.950000
edge10998	0.885000
edge11828	0.902000
edge14034	0.622000
edge18046	0.869000
edge3506	0.914000
edge9663	0.055000
edge14922	0.953000
edge20172	0.951000
edge24661	0.959000
edge6782	0.892000
edge25620	0.947000
edge5664	0.048000
edge25909	0.953000
edge14379	0.883000
edge11768	0.038000
edge24869	0.940000
edge5592	0.957000
edge12328	0.905000
edge10136	0.918000
edge19822	0.784000
edge9941	0.901000
edge3981	0.946000
edge3719	0.002000
edge20716	0.906000
edge14743	0.948000
edge24020	0.904000
edge16253	0.919000
edge3989	0.940000
edge23039	0.895000
edge11055	0.819000
edge21551	0.910000
edge10344	0.845000
edge19531	0.950000
edge22014	0.901000
edge12919	0.503000
edge21955	0.908000
edge22726	0.916000
edge12855	0.901000
edge2674	0.943000
edge19833	0.925000
edge2988	0.003000
edge3361	0.884000
edge2175	0.917000
edge4144	0.957000
edge10101	0.885000
edge1049	0.894000
edge6256	0.909000
edge4145	0.823000
edge12011	0.904000
edge16382	0.847000
edge17920	0.911000
edge26824	0.832000
edge17737	0.911000
edge25874	0.863000
edge3025	0.854000
edge5462	0.908000
edge13395	0.948000
edge15204	0.038000
edge23122	0.854000
edge9586	0.330000
edge17437	0.950000
edge4112	0.942000
edge6347	0.962000
edge23642	0.948000
edge14298	0.861000
edge26622	0.859000
edge9774	0.947000
edge12398	0.894000
edge12397	0.007000
edge16932	0.947000
edge24812	0.449000
edge9247	0.954000
edge26416	0.921000
edge26166	0.947000
edge22403	0.887000
edge24118	0.898000
edge11533	0.584000
edge12795	0.906000
edge1238	0.912000
edge13998	0.816000
edge25167	0.922000
edge12637	0.904000
edge2133	0.822000
edge25161	0.953000
edge23999	0.911000
edge9411	0.951000
edge7319	0.897000
edge17473	0.002000
edge15466	0.914000
edge19262	0.906000
edge12063	0.921000
edge4574	0.904000
edge11587	0.187000
edge20829	0.002000
edge5767	0.922000
edge18156	0.903000
edge20204	0.878000
edge26266	0.949000
edge4681	0.902000
edge10752	0.898000
edge15216	0.003000
edge22374	0.904000
edge21859	0.898000
edge20442	0.916000
edge23591	0.928000
edge17485	0.875000
edge8638	0.920000
edge24940	0.626000
edge21175	0.922000
edge26392	0.908000
edge11915	0.903000
edge26552	0.928000
edge1204	0.955000
edge10889	0.886000
edge8778	0.956000
edge12783	0.915000
edge9489	0.877000
edge22766	0.901000
edge15906	0.907000
edge23311	0.002000
edge1209	0.928000
edge6361	0.955000
edge10829	0.922000
edge1699	0.363000
edge1513	0.916000
edge16045	0.902000
edge4961	0.892000
edge4543	0.948000
edge21642	0.920000
edge15792	0.917000
edge25234	0.904000
edge9784	0.896000
edge7518	0.002000
edge4379	0.955000
edge6893	0.917000
edge6891	0.812000
edge1848	0.896000
edge15098	0.907000
edge18362	0.901000
edge3164	0.054000
edge22650	0.896000
edge20296	0.054000
edge219	0.919000
edge18471	0.421000
edge20980	0.904000
edge13702	0.001000
edge18272	0.910000
edge25213	0.896000
edge8781	0.909000
edge2126	0.916000
edge387	0.907000
edge3632	0.939000
edge3736	0.903000
edge11034	0.909000
edge13835	0.808000
edge10035	0.001000
edge14732	0.948000
edge18990	0.906000
edge13570	0.921000
edge12194	0.905000
edge2146	0.920000
edge5821	0.942000
edge16470	0.001000
edge24676	0.855000
edge25386	0.001000
edge26878	0.870000
edge9487	0.007000
edge18885	0.952000
edge12896	0.951000
edge7455	0.951000
edge18094	0.916000
edge14165	0.894000
edge5156	0.916000
edge11443	0.845000
edge8081	0.894000
edge15317	0.953000
edge11863	0.922000
edge21391	0.964000
edge7844	0.948000
edge15649	0.921000
edge9330	0.945000
edge8314	0.901000
edge15006	0.957000
edge9144	0.897000
edge20859	0.192000
edge20858	0.922000
edge6161	0.922000
edge11951	0.957000
edge25700	0.896000
edge24803	0.656000
edge18711	0.906000
edge4899	0.903000
edge10670	0.895000
edge17102	0.896000
edge5790	0.898000
edge17107	0.894000
edge13371	0.823000
edge26672	0.910000
edge6101	0.899000
edge9446	0.957000
edge2150	0.626000
edge12186	0.952000
edge12427	0.906000
edge23116	0.910000
edge23163	0.901000
edge19819	0.939000
edge3475	0.622000
edge12741	0.903000
edge22641	0.901000
edge16228	0.903000
edge13816	0.956000
edge10920	0.955000
edge13814	0.906000
edge26534	0.944000
edge6977	0.914000
edge24805	0.951000
edge1981	0.892000
edge6669	0.911000
edge5226	0.816000
edge14324	0.823000
edge20310	0.891000
edge15730	0.955000
edge25428	0.916000
edge11770	0.962000
edge3707	0.922000
edge6583	0.912000
edge13341	0.098000
edge2222	0.192000
edge1373	0.002000
edge2784	0.920000
edge461	0.908000
edge9403	0.421000
edge20841	0.925000
edge17296	0.964000
edge14597	0.916000
edge24130	0.925000
edge1871	0.911000
edge5537	0.959000
edge13127	0.959000
edge21708	0.916000
edge1018	0.187000
edge3121	0.048000
edge14228	0.904000
edge21113	0.909000
edge7026	0.956000
edge14514	0.900000
edge92	0.952000
edge24649	0.952000
edge1240	0.920000
edge8238	0.906000
edge4121	0.920000
edge26828	0.896000
edge25680	0.959000
edge17719	0.449000
edge26025	0.907000
edge1365	0.906000
edge26176	0.656000
edge8672	0.055000
edge610	0.962000
edge9040	0.902000
edge9608	0.922000
edge10654	0.913000
edge14897	0.955000
edge23191	0.098000
edge5836	0.918000
