sif_style	Annotation	count	etype	matchType	matchType	filenames
YDR469W (d) YLR233C		1.0	methylation			rewired-BG-network-474_4_bgnet
YAR007C (u) YNL272C		1.0	ppi			rewired-BG-network-474_4_bgnet
YNL272C (u) YAR007C		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR459C (d) YPR103W		1.0	prenylation			rewired-BG-network-474_4_bgnet
YEL002C (u) YJR033C		1.0	ppi			rewired-BG-network-474_4_bgnet
YJR033C (u) YEL002C		1.0	ppi			rewired-BG-network-474_4_bgnet
YDL160C (u) YGR027WA		1.0	ppi			rewired-BG-network-474_4_bgnet
YGR027WA (u) YDL160C		1.0	ppi			rewired-BG-network-474_4_bgnet
YCR008W (d) YLR182W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YDL029W (u) YIR010W		1.0	ppi			rewired-BG-network-474_4_bgnet
YIR010W (u) YDL029W		1.0	ppi			rewired-BG-network-474_4_bgnet
YGR052W (u) YOL013C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOL013C (u) YGR052W		1.0	ppi			rewired-BG-network-474_4_bgnet
NPR12 (d) YDL195W		1.0			Constituent	NaCl_module_edges_Randomized_4
YNL255C (u) YOL086C		1.0	metabolic_pathway			rewired-BG-network-474_4_bgnet
YOL086C (u) YNL255C		1.0	metabolic_pathway			rewired-BG-network-474_4_bgnet
YMR047C (u) YOR362C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOR362C (u) YMR047C		1.0	ppi			rewired-BG-network-474_4_bgnet
CX46 (u) YER022W		1.0	ppi			rewired-BG-network-474_4_bgnet
YER022W (u) CX46		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR208W (u) YKL161C		1.0	ppi			rewired-BG-network-474_4_bgnet
YKL161C (u) YDR208W		1.0	ppi			rewired-BG-network-474_4_bgnet
YIL095W (d) YER177W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YER106W (u) YLR115W		1.0	ppi			rewired-BG-network-474_4_bgnet
YLR115W (u) YER106W		1.0	ppi			rewired-BG-network-474_4_bgnet
YGR084C (u) YHR197W		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR197W (u) YGR084C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOR208W (d) YER012W		1.0	phosphatase_substrate			rewired-BG-network-474_4_bgnet
YER164W (u) YOL088C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOL088C (u) YER164W		1.0	ppi			rewired-BG-network-474_4_bgnet
YIL147C (u) YJR074W		1.0	ppi			rewired-BG-network-474_4_bgnet
YJR074W (u) YIL147C		1.0	ppi			rewired-BG-network-474_4_bgnet
YJL002C (u) YOL012C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOL012C (u) YJL002C		1.0	ppi			rewired-BG-network-474_4_bgnet
YJL190C (u) YNL101W		1.0	ppi			rewired-BG-network-474_4_bgnet
YNL101W (u) YJL190C		1.0	ppi			rewired-BG-network-474_4_bgnet
YBR171W (u) YBR289W		1.0	ppi			rewired-BG-network-474_4_bgnet
YBR289W (u) YBR171W		1.0	ppi			rewired-BG-network-474_4_bgnet
YEL037C (u) YPL269W		1.0	ppi			rewired-BG-network-474_4_bgnet
YPL269W (u) YEL037C		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR099W (u) YOR198C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOR198C (u) YHR099W		1.0	ppi			rewired-BG-network-474_4_bgnet
YDL149W (u) YLR293C		1.0	ppi			rewired-BG-network-474_4_bgnet
YLR293C (u) YDL149W		1.0	ppi			rewired-BG-network-474_4_bgnet
YGL003C (d) YOR279C		1.0	ubiquitination			rewired-BG-network-474_4_bgnet
YDR054C (d) YOR269W		1.0	ubiquitination			rewired-BG-network-474_4_bgnet
YHL007C (d) YNL113W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YGL012W (u) YKL016C		1.0	ppi			rewired-BG-network-474_4_bgnet
YKL016C (u) YGL012W		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR082C (d) YFR038W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YAL011W (u) YEL032W		1.0	ppi			rewired-BG-network-474_4_bgnet
YEL032W (u) YAL011W		1.0	ppi			rewired-BG-network-474_4_bgnet
YBR086C (u) YMR005W		1.0	ppi			rewired-BG-network-474_4_bgnet
YMR005W (u) YBR086C		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR432W (u) YEL037C		1.0	ppi			rewired-BG-network-474_4_bgnet
YEL037C (u) YDR432W		1.0	ppi			rewired-BG-network-474_4_bgnet
YBL016W (u) YPL094C		1.0	ppi			rewired-BG-network-474_4_bgnet
YPL094C (u) YBL016W		1.0	ppi			rewired-BG-network-474_4_bgnet
CX47 (u) YDR166C		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR166C (u) CX47		1.0	ppi			rewired-BG-network-474_4_bgnet
YBL041W (u) YPL031C		1.0	ppi			rewired-BG-network-474_4_bgnet
YPL031C (u) YBL041W		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR135C (d) YDR330W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YGR092W (u) YOR372C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOR372C (u) YGR092W		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR261C (d) SNR17B		1.0	metabolic_pathway			rewired-BG-network-474_4_bgnet
YBR160W (d) YBR118W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YKL101W (u) YMR236W		1.0	ppi			rewired-BG-network-474_4_bgnet
YMR236W (u) YKL101W		1.0	ppi			rewired-BG-network-474_4_bgnet
YBL035C (u) YHR186C		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR186C (u) YBL035C		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR135C (d) YPL178W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YBR254C (u) YNR018W		1.0	ppi			rewired-BG-network-474_4_bgnet
YNR018W (u) YBR254C		1.0	ppi			rewired-BG-network-474_4_bgnet
YDL134C (u) YPL214C		1.0	ppi			rewired-BG-network-474_4_bgnet
YPL214C (u) YDL134C		1.0	ppi			rewired-BG-network-474_4_bgnet
YDL116W (u) YMR140W		1.0	ppi			rewired-BG-network-474_4_bgnet
YMR140W (u) YDL116W		1.0	ppi			rewired-BG-network-474_4_bgnet
YBR050C (u) YLR357W		1.0	ppi			rewired-BG-network-474_4_bgnet
YLR357W (u) YBR050C		1.0	ppi			rewired-BG-network-474_4_bgnet
YGL060W (u) YKL137W		1.0	ppi			rewired-BG-network-474_4_bgnet
YKL137W (u) YGL060W		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR170W (u) YKL212W		1.0	ppi			rewired-BG-network-474_4_bgnet
YKL212W (u) YHR170W		1.0	ppi			rewired-BG-network-474_4_bgnet
YIL101C (u) YOL018C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOL018C (u) YIL101C		1.0	ppi			rewired-BG-network-474_4_bgnet
YEL024W (u) YHR089C		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR089C (u) YEL024W		1.0	ppi			rewired-BG-network-474_4_bgnet
YIL061C (u) YLR002C		1.0	ppi			rewired-BG-network-474_4_bgnet
YLR002C (u) YIL061C		1.0	ppi			rewired-BG-network-474_4_bgnet
YIL155C (u) YNR056C		1.0	ppi			rewired-BG-network-474_4_bgnet
YNR056C (u) YIL155C		1.0	ppi			rewired-BG-network-474_4_bgnet
YGL122C (u) YOR176W		1.0	ppi			rewired-BG-network-474_4_bgnet
YOR176W (u) YGL122C		1.0	ppi			rewired-BG-network-474_4_bgnet
YEL054C (u) YIL030C		1.0	ppi			rewired-BG-network-474_4_bgnet
YIL030C (u) YEL054C		1.0	ppi			rewired-BG-network-474_4_bgnet
YGR234W (u) YJL122W		1.0	ppi			rewired-BG-network-474_4_bgnet
YJL122W (u) YGR234W		1.0	ppi			rewired-BG-network-474_4_bgnet
YJL187C (d) YIL010W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YLR096W (u) YOL026C		1.0	ppi			rewired-BG-network-474_4_bgnet
YOL026C (u) YLR096W		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR409W (d) YKL045W		1.0	sumoylation			rewired-BG-network-474_4_bgnet
YKR057W (u) YLR078C		1.0	ppi			rewired-BG-network-474_4_bgnet
YLR078C (u) YKR057W		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR224C (u) YJL099W		1.0	ppi			rewired-BG-network-474_4_bgnet
YJL099W (u) YDR224C		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR155C (u) YDR356W		1.0	ppi			rewired-BG-network-474_4_bgnet
YDR356W (u) YDR155C		1.0	ppi			rewired-BG-network-474_4_bgnet
YPL031C (d) CX94		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YEL058W (u) YNL175C		1.0	metabolic_pathway			rewired-BG-network-474_4_bgnet
YNL175C (u) YEL058W		1.0	metabolic_pathway			rewired-BG-network-474_4_bgnet
YFL009W (d) YOR341W		1.0	ubiquitination			rewired-BG-network-474_4_bgnet
YDL229W (u) YHR200W		1.0	ppi			rewired-BG-network-474_4_bgnet
YHR200W (u) YDL229W		1.0	ppi			rewired-BG-network-474_4_bgnet
YBR127C (u) YLR071C		1.0	ppi			rewired-BG-network-474_4_bgnet
YLR071C (u) YBR127C		1.0	ppi			rewired-BG-network-474_4_bgnet
CDC14RD36 (d) YER008C		1.0			Constituent	NaCl_module_edges_Randomized_4
YJR059W (d) YKR097W		1.0	kinase_substrate			rewired-BG-network-474_4_bgnet
YLR009W (u) YLR347C		1.0	ppi			rewired-BG-network-474_4_bgnet
YLR347C (u) YLR009W		1.0	ppi			rewired-BG-network-474_4_bgnet
YER064C (u) YHL004W		1.0	ppi			rewired-BG-network-474_4_bgnet
