#item	conf(x) (out of 1000 total sols)
edge2261	0.901000
edge26925	0.152000
edge14238	0.896000
edge20135	0.905000
edge14233	0.908000
edge16326	0.949000
edge18205	0.134000
edge17883	0.069000
edge24733	0.909000
edge9819	0.916000
edge2906	0.124000
edge26991	0.906000
edge10423	0.903000
edge21195	0.905000
edge18595	0.941000
edge4620	0.952000
edge14776	0.891000
edge25901	0.099000
edge14285	0.902000
edge3593	0.910000
edge15803	0.912000
edge9468	0.915000
edge2349	0.916000
edge12991	0.913000
edge20790	0.893000
edge23038	0.890000
edge20795	0.878000
edge24204	0.145000
edge20134	0.964000
edge1539	0.951000
edge1285	0.151000
edge3028	0.927000
edge22139	0.001000
edge10045	0.003000
edge6015	0.105000
edge13559	0.038000
edge12578	0.917000
edge11658	0.910000
edge4579	0.040000
edge21179	0.953000
edge10695	0.912000
edge11077	0.965000
edge9625	0.946000
edge15552	0.902000
edge5650	0.959000
edge8541	0.951000
edge6085	0.913000
edge21612	0.865000
edge5893	0.919000
edge10255	0.910000
edge16893	0.002000
edge9917	0.918000
edge16896	0.917000
edge26515	0.038000
edge23661	0.144000
edge13489	0.954000
edge26453	0.962000
edge12478	0.946000
edge6155	0.923000
edge13847	0.912000
edge7572	0.907000
edge7376	0.921000
edge11441	0.109000
edge21912	0.956000
edge15483	0.959000
edge15480	0.955000
edge19464	0.910000
edge24700	0.880000
edge2381	0.118000
edge3723	0.138000
edge10001	0.148000
edge18899	0.900000
edge6874	0.920000
edge15634	0.910000
edge14019	0.908000
edge1272	0.024000
edge20846	0.906000
edge17115	0.941000
edge16132	0.951000
edge954	0.962000
edge1977	0.953000
edge6909	0.946000
edge6756	0.946000
edge23406	0.955000
edge13886	0.957000
edge24849	0.910000
edge13219	0.879000
edge18733	0.912000
edge13213	0.907000
edge6127	0.918000
edge12038	0.911000
edge8616	0.914000
edge17803	0.946000
edge23818	0.877000
edge12964	0.949000
edge12962	0.917000
edge23629	0.905000
edge1497	0.920000
edge15123	0.899000
edge4134	0.918000
edge19135	0.900000
edge25611	0.132000
edge10782	0.960000
edge12491	0.920000
edge5195	0.905000
edge13625	0.455000
edge22963	0.912000
edge20890	0.132000
edge15336	0.543000
edge5744	0.951000
edge24994	0.956000
edge24623	0.943000
edge24993	0.903000
edge6539	0.902000
edge16903	0.913000
edge7800	0.951000
edge184	0.911000
edge3101	0.953000
edge18998	0.913000
edge19852	0.912000
edge2325	0.966000
edge19857	0.910000
edge2759	0.920000
edge21532	0.060000
edge147	0.908000
edge20798	0.908000
edge17029	0.099000
edge24754	0.886000
edge18923	0.910000
edge13711	0.949000
edge4043	0.002000
edge24883	0.884000
