#item	conf(sigma) (out of 1000 total sols)
p169	0.913000
p88	0.888000
p163	0.868000
p82	0.908000
p81	0.898000
p80	0.906000
p87	0.882000
p86	0.905000
p85	0.069000
p84	0.949000
p168	0.902000
p83	0.951000
p162	0.925000
p161	0.868000
p98	0.910000
p99	0.876000
p160	0.959000
p90	0.899000
p91	0.877000
p92	0.148000
p93	0.910000
p94	0.867000
p96	0.891000
p97	0.927000
p10	0.902000
p11	0.953000
p12	0.902000
p13	0.906000
p14	0.093000
p15	0.955000
p16	0.905000
p17	0.086000
p18	0.955000
p19	0.911000
p164	0.916000
p178	0.118000
p179	0.038000
p25	0.920000
p24	0.045000
p27	0.908000
p26	0.003000
p21	0.910000
p20	0.951000
p23	0.903000
p22	0.907000
p29	0.874000
p28	0.924000
p156	0.906000
p157	0.093000
p154	0.918000
p155	0.049000
p152	0.873000
p153	0.890000
p150	0.912000
p151	0.893000
p158	0.917000
p159	0.912000
p134	0.900000
p135	0.105000
p136	0.913000
p137	0.105000
p130	0.455000
p131	0.901000
p132	0.912000
p133	0.923000
p109	0.132000
p138	0.915000
p139	0.920000
p38	0.885000
p39	0.913000
p176	0.895000
p32	0.920000
p33	0.916000
p30	0.001000
p31	0.893000
p36	0.910000
p37	0.905000
p34	0.905000
p35	0.905000
p108	0.059000
p141	0.876000
p140	0.919000
p143	0.918000
p142	0.898000
p145	0.908000
p144	0.910000
p147	0.894000
p146	0.906000
p149	0.004000
p148	0.910000
p166	0.129000
p126	0.911000
p125	0.879000
p124	0.002000
p123	0.877000
p122	0.145000
p121	0.905000
p120	0.003000
p129	0.886000
p128	0.905000
p49	0.918000
p48	0.866000
p47	0.903000
p46	0.910000
p165	0.912000
p44	0.914000
p43	0.901000
p42	0.905000
p41	0.134000
p40	0.911000
p105	0.171000
p68	0.060000
p112	0.912000
p113	0.040000
p110	0.901000
p111	0.928000
p116	0.910000
p117	0.928000
p114	0.144000
p115	0.855000
p118	0.900000
p119	0.897000
p58	0.865000
p59	0.908000
p54	0.912000
p55	0.900000
p56	0.941000
p57	0.878000
p50	0.882000
p51	0.873000
p52	0.906000
p53	0.911000
p2	0.109000
p3	0.138000
p0	0.151000
p1	0.906000
p6	0.915000
p7	0.919000
p4	0.900000
p5	0.891000
p8	0.902000
p9	0.145000
p206	0.908000
p204	0.912000
p205	0.910000
p202	0.125000
p203	0.867000
p200	0.861000
p201	0.909000
p61	0.913000
p60	0.903000
p63	0.125000
p62	0.878000
p65	0.458000
p64	0.913000
p67	0.921000
p66	0.907000
p69	0.899000
p104	0.911000
p107	0.099000
p106	0.915000
p101	0.883000
p100	0.120000
p103	0.910000
p102	0.543000
p89	0.024000
p167	0.098000
p177	0.891000
p198	0.884000
p192	0.912000
p193	0.109000
p190	0.022000
p191	0.868000
p196	0.100000
p197	0.901000
p195	0.906000
p76	0.913000
p77	0.419000
p74	0.132000
p75	0.903000
p72	0.124000
p73	0.861000
p70	0.880000
p71	0.923000
p170	0.910000
p171	0.142000
p172	0.900000
p173	0.873000
p174	0.906000
p175	0.873000
p78	0.910000
p79	0.868000
p185	0.865000
p184	0.943000
p187	0.886000
p186	0.896000
p181	0.903000
p180	0.913000
p183	0.886000
p182	0.879000
p189	0.099000
p188	0.919000
