YLR377C	YMR186W
YIL021W	YPL203W
YBR059C	YNL243W
YOR360C	YPL203W
Repressed_R.R..s......_pde2_Repressed_Amplified	YBR059C
YBR109C	YOR039W
YIR006C	YJR065C
YBR109C	YOR061W
Induced_..S..s......_pde2_Induced_Defective	YPL153C
YDR099W	YNL020C
YDL161W	YOR127W
YIL095W	YNL243W
YBR109C	YJR065C
YNL084C	YPL153C
YBR160W	YPL153C
YKL166C	YOR360C
YHR005C	YJL005W
YGR241C	YNL084C
YDR028C	YHR005C
Repressed_...R.s......_pde2_Repressed_Amplified	YLR229C
Induced_.....tP....._pde2_Induced_Defective	YBL007C
YGR130C	YJL164C
YGR068C	YGR080W
YJL005W	YLR310C
YDL161W	YIR006C
YBR109C	YFR014C
YGL207W	YJL187C
YGL207W	YIL021W
Induced_..S..s......_pde2_Induced_Defective	YBR059C
Induced_.....tP....._pde2_Induced_Defective	YIL095W
YGL206C	YLR206W
YGR130C	YPL153C
Induced_.....tP....._pde2_Induced_Defective	YGR241C
Repressed_R.R..s......_pde2_Repressed_Amplified	YIR006C
YDR264C	YPL242C
YJL164C	YKL042W
YBL007C	YNL243W
YFL026W	YHR005C
Induced_.....sP....._pde2_Induced_Defective	YPL153C
YCR088W	YJR065C
YGL207W	YJL164C
YNL272C	YPL153C
YBR109C	YNL079C
YJL157C	YJR086W
Induced_.....tP....._pde2_Induced_Defective	YDL161W
Repressed_.....tP....._pde2_Repressed_Amplified	YBR108W
Induced_.....tP....._pde2_Induced_Defective	YFL023W
Repressed_R.R..s......_pde2_Repressed_Amplified	YNL243W
YFR014C	YPL203W
YLR229C	YPL115C
YGL019W	YOR061W
YJL157C	YLR229C
YDR099W	YPL153C
Repressed_...R.s......_pde2_Repressed_Amplified	YGL019W
YBR109C	YIL021W
YJL005W	YNL138W
YGR209C	YLR109W
YJL005W	YJR086W
YLR206W	YNL020C
Repressed_...R.s......_pde2_Repressed_Amplified	YGL207W
YCR088W	YNL020C
YFL023W	YJL164C
Repressed_.....tP....._pde2_Repressed_Amplified	YDR099W
YBR050C	YBR109C
YDR454C	YIL006W
YBR097W	YHR005C
YJL005W	YOR360C
Repressed_R.R..s......_pde2_Repressed_Amplified	YBR160W
Repressed_R.....s......_pde2_Repressed_Amplified	YIL095W
YBR109C	YKL042W
Repressed_..R..s......_pde2_Repressed_Amplified	YJL164C
YHR028C	YKL166C
YBR109C	YHR028C
YBR097W	YPL120W
YGL197W	YLR310C
Induced_.....sP....._pde2_Induced_Defective	YLR229C
YLR229C	YPL242C
Repressed_R.R..s......_pde2_Repressed_Amplified	YPR171W
YGR080W	YNL138W
YDL161W	YGL206C
YDR028C	YLR377C
YPL242C	YPR171W
Repressed_..RK.s......_pde2_Repressed_Amplified	YPL153C
YBR059C	YGL207W
YFR014C	YGL207W
YGL197W	YLR377C
YBR059C	YPL203W
YJL005W	YMR186W
YKL042W	YNL084C
YBR059C	YOR061W
YGL019W	YGR068C
YIL021W	YJL164C
Repressed_..R..s......_pde2_Repressed_Amplified	YLR229C
Repressed_R.R..s......_pde2_Repressed_Amplified	YGR241C
YGL207W	YOR061W
YDL161W	YNL243W
Repressed_R.....s......_pde2_Repressed_Amplified	YBR109C
YLR229C	YOR127W
YBR050C	YDR099W
Repressed_..RK.s......_pde2_Repressed_Amplified	YJL164C
YLR206W	YPL115C
YFR014C	YKL166C
YBR108W	YPL153C
YIL006W	YOR360C
Repressed_R.R..s......_pde2_Repressed_Amplified	YBR108W
YPL180W	YPL242C
YGL019W	YOR039W
YGR241C	YNL020C
Repressed_..R..s......_pde2_Repressed_Amplified	YPL203W
YGL180W	YPL203W
YBR109C	YJL187C
YGL019W	YPL153C
YLR109W	YNL079C
YGL019W	YGL207W
YDL161W	YPL115C
YGL206C	YGR241C
Repressed_..R..s......_pde2_Repressed_Amplified	YPL153C
YPL120W	YPL153C
YDR454C	YGR209C
YIL095W	YNL084C
YNL020C	YNL084C
Repressed_.....tP....._pde2_Repressed_Amplified	YGL207W
YCR088W	YGL206C
YBL007C	YPL153C
YBR160W	YOR061W
YJL164C	YOR360C
YFR014C	YNL272C
YML028W	YNL079C
Induced_.....tP....._pde2_Induced_Defective	YNL243W
Repressed_..RK.s......_pde2_Repressed_Amplified	YLR377C
YBR109C	YIL095W
YLR377C	YPL180W
YGL180W	YGL207W
YBR160W	YJL187C
YGR209C	YML028W
YBL007C	YBR160W
YDR264C	YJR086W
YCR088W	YNL138W
YFL026W	YGL206C
YBR109C	YPL242C
